,Re,Im
1455025125.6281407,232.37737472207547,-86.50537474788156
1455778894.4723618,228.85945112399105,-90.82966552326492
1456532663.316583,225.2151358017713,-94.9393453664765
1457286432.160804,221.46078489225195,-98.83184470798903
1458040201.0050251,217.61240713785855,-102.50600725418853
1458793969.8492463,213.68553845455057,-105.96199304421049
1459547738.6934674,209.69513475214893,-109.20117209419358
1460301507.5376885,205.6554830688778,-112.2260117032853
1461055276.3819096,201.58013061335106,-115.03996026704098
1461809045.2261307,197.48183091943127,-117.64733015706483
1462562814.0703518,193.37250601304174,-120.05318190252304
1463316582.914573,189.2632232645421,-122.26321156692802
1464070351.758794,185.1641854494076,-124.28364286894046
1464824120.6030152,181.08473245669592,-126.12112526152796
1465577889.4472363,177.0333530596236,-127.7826388697689
1466331658.2914572,173.01770518602348,-129.27540690149976
1467085427.1356783,169.04464318848437,-130.6068158906644
1467839195.9798994,165.12025070522753,-131.78434391413106
1468592964.8241205,161.2498778148736,-132.81549673810457
1469346733.6683416,157.43818131296456,-133.70775170038542
1470100502.5125628,153.6891670697816,-134.46850901629654
1470854271.3567839,150.00623356179992,-135.10505010735875
1471608040.201005,146.39221579871062,-135.62450248884096
1472361809.045226,142.84942899195,-136.03381071171464
1473115577.8894472,139.37971142571672,-136.3397128333135
1473869346.7336683,135.9844660971064,-136.54872188515282
1474623115.5778894,132.66470078677798,-136.66711181324266
1475376884.4221106,129.421066305566,-136.70090738285376
1476130653.2663317,126.2538927354548,-136.65587756367657
1476884422.1105528,123.16322354621214,-136.5375319403043
1477638190.954774,120.14884752198172,-136.35111972550652
1478391959.798995,117.21032847611696,-136.10163098802775
1479145728.6432161,114.34703276879561,-135.79379974165226
1479899497.4874372,111.55815467038524,-135.43210857694092
1480653266.3316584,108.84273963645403,-135.02079455090484
1481407035.1758795,106.19970557688113,-134.56385608186483
1482160804.0201006,103.62786221422454,-134.0650606273112
1482914572.8643217,101.12592863464079,-133.52795295059545
1483668341.7085428,98.69254913982058,-132.95586380834627
1484422110.552764,96.3263075108226,-132.3519189141306
