,Re,Im
100000000.0,-0.07424110439023912,19.070138466324124
159595959.5959596,-0.08537370771152708,12.604307936054909
219191919.1919192,-0.08998571845211845,9.900689526742099
278787878.78787875,-0.08979404496729826,8.561707269467007
338383838.3838384,-0.08553808535575991,7.88272678300109
397979797.97979796,-0.07751350115818889,7.585375793050076
457575757.57575756,-0.06574147549391407,7.540920917859182
517171717.17171717,-0.05002200734235496,7.685214308003495
576767676.7676768,-0.029932229002825217,7.986794122490977
636363636.3636364,-0.0047842448157267015,8.433489682714324
695959595.9595959,0.026462071971588674,9.026725655214044
755555555.5555556,0.06535138475377122,9.779713090182028
815151515.1515151,0.11419285847572702,10.718240628997066
874747474.7474748,0.17651281845996447,11.884004877024068
934343434.3434343,0.2578750668580545,13.341432680018286
993939393.939394,0.3674504702682855,15.190455064852905
1053535353.5353535,0.5212347977042082,17.590816759119278
1113131313.131313,0.7492489388751267,20.811142142488592
1172727272.7272727,1.1135873341608242,25.33724989836076
1232323232.3232324,1.7611652996930562,32.14316114472687
1291919191.9191918,3.1160541682459026,43.50273691070244
1351515151.5151515,6.880053663179218,66.20891894943819
1411111111.1111112,26.676909155252474,133.06050049921873
1470707070.7070708,715.9182101135677,-159.95073923241728
1530303030.3030303,20.097354692800536,-127.68358006877716
1589898989.89899,4.839959323958702,-67.0712776181854
1649494949.4949496,1.950535403739167,-45.59703449536456
1709090909.090909,0.9664868578554895,-34.637663538737456
1768686868.6868687,0.5315598001243167,-27.972891175998228
1828282828.2828283,0.30963861300034523,-23.471831218292593
1887878787.878788,0.18631143502412684,-20.207132302735918
1947474747.4747474,0.11425147578021644,-17.70852333470216
2007070707.070707,0.07100892912875167,-15.708639878393278
2066666666.6666667,0.04465495646424955,-14.03790548653459
2126262626.2626262,0.027945232848846757,-12.570041879895165
2185858585.858586,0.015137034924055826,-11.172409638209924
2245454545.4545455,-0.0026407668053174405,-9.55097013705846
2305050505.050505,3.9030485273569298,-6.140096267019654
2364646464.646465,3.7040667705394945,-9.908160866212501
2424242424.2424245,2.554013793091702,-10.191329597281989
2483838383.8383837,1.7808466876419082,-9.806785914549653
2543434343.4343433,1.2669991538845258,-9.2317287839933
2603030303.030303,0.92133394619615,-8.601669458928946
2662626262.6262627,0.6891873881688275,-7.962734064996383
2722222222.2222223,0.5373911690529226,-7.330689924584494
2781818181.818182,0.44522623048764864,-6.709360346800732
2841414141.4141417,0.39950266622928954,-6.097404382800976
2901010101.010101,0.3918397728241505,-5.491066377423069
2960606060.6060605,0.4171259244511316,-4.885335025341071
3020202020.20202,0.47264425512232733,-4.274408409813661
3079797979.79798,0.5576030164381476,-3.651826356361969
3139393939.3939395,0.6729396715681792,-3.0104237050161142
3198989898.989899,0.8213410814946345,-2.342169623030955
3258585858.585859,1.0074708837217061,-1.637917133064608
3318181818.181818,1.2384373358662524,-0.8870669365522623
3377777777.7777777,1.5245838154370417,-0.07714089334741381
3437373737.3737373,1.880754527895654,0.8067372852395338
3496969696.969697,2.328301707740815,1.7824346157019555
3556565656.5656567,2.898295200869206,2.8713868246637104
3616161616.1616163,3.636737157071547,4.098889722328603
3675757575.757576,4.613186933348018,5.4933527783515945
3735353535.353535,5.9352272796075844,7.082519676902495
3794949494.949495,7.772727872068913,8.881405432390089
3854545454.5454545,10.396972348401054,10.858170577005911
3914141414.141414,14.23402864037583,12.842599043792417
3973737373.737374,19.88851416840034,14.295994613979458
4033333333.3333335,27.902459540765705,13.830531492078379
4092929292.929293,37.536315637297946,8.780991173525583
4152525252.5252523,44.456301730161336,-2.9166264635373516
4212121212.121212,42.96067199179787,-17.277001287912988
4271717171.7171717,34.58655817705415,-26.795020451996905
4331313131.313131,25.4168186179272,-30.039206299571205
4390909090.909091,18.345788212218732,-29.747407438918692
4450505050.505051,13.45594887443044,-28.131516940928435
4510101010.10101,10.139024931116811,-26.212941131249007
4569696969.69697,7.8594529275437885,-24.368262071361087
4629292929.29293,6.256254395590577,-22.708752847085456
4688888888.888889,5.100712424822536,-21.24771669934703
4748484848.484849,4.248454519145769,-19.96578232722441
4808080808.080808,3.6068287556181993,-18.835057656014065
4867676767.676767,3.11493746132812,-17.827362013924986
4927272727.272727,2.7316632494400768,-16.9162086894822
4986868686.868687,2.4283961739897038,-16.07595856715826
5046464646.464646,2.1844379897387416,-15.27863424787354
5106060606.060606,1.9837779157449278,-14.485798109978257
5165656565.656566,1.8119936469622466,-13.62200656642596
5225252525.252525,1.6503362151959529,-12.426931383063053
5284848484.848485,4.588954612763523,-10.384878463905498
5344444444.444445,4.958773526597389,-12.68964986247397
5404040404.040404,4.304756142300288,-13.406464727452752
5463636363.636364,3.6348755949652385,-13.524401721281738
5523232323.232324,3.068603150314577,-13.353336718649347
5582828282.828283,2.6167750928915803,-13.029249137763266
5642424242.424242,2.2683450222577344,-12.620464123486238
5702020202.020202,2.0089917783588853,-12.163635956576348
5761616161.616161,1.8258738518501298,-11.678926463266716
5821212121.212121,1.7087292155448834,-11.17729070327735
5880808080.808081,1.649929553282966,-10.66427981618761
5940404040.40404,1.6442734717952407,-10.142145102813156
6000000000.0,1.6887745509198075,-9.611055448584965
