,Re,Im
100000000.0,-0.007424179258600061,19.13695614846614
159595959.5959596,-0.008537599365586956,12.681146558858416
219191919.1919192,-0.008999193832475383,9.981682893085576
278787878.78787875,-0.008980882675093005,8.642536692239332
338383838.3838384,-0.00855696139322859,7.959742592952196
397979797.97979796,-0.007757525984899871,7.655199722139585
457575757.57575756,-0.006585474240357492,7.600201575055621
517171717.17171717,-0.005021954850650268,7.73043182708804
576767676.7676768,-0.0030263915247945583,8.014065238808172
636363636.3636364,-0.0005325828038307279,8.43833806245732
695959595.9595959,0.0025594849888030957,9.003779150182574
755555555.5555556,0.006397938270829684,9.722273372402292
815151515.1515151,0.011203327072679237,10.617636040240761
874747474.7474748,0.017310694408638305,11.728568575241724
934343434.3434343,0.025245212112600335,13.114808156914286
993939393.939394,0.03586548979469839,14.868629795460762
1053535353.5353535,0.050653833695759154,17.136586718800523
1113131313.131313,0.07235587952109412,20.1629357224555
1172727272.7272727,0.10655239214987056,24.384165038648415
1232323232.3232324,0.16613035652948227,30.661112962975285
1291919191.9191918,0.28695464266661475,40.95630133260384
1351515151.5151515,0.6042540236464014,60.91961024682134
1411111111.1111112,2.059400333793789,116.20229616846218
1470707070.7070708,145.3182922411545,1006.3612505742092
1530303030.3030303,3.0276904173229724,-154.04089771831656
1589898989.89899,0.5977720281666805,-72.44645113404843
1649494949.4949496,0.22701425999648706,-47.6479574750494
1709090909.090909,0.10947531589604864,-35.62790874586821
1768686868.6868687,0.059344012436842064,-28.509912101976354
1828282828.2828283,0.034283801120970736,-23.782140019332633
1887878787.878788,0.020526085077765543,-20.392941038862922
1947474747.4747474,0.012540064092311454,-17.8220446892152
2007070707.070707,0.0077570182079576,-15.778851536974148
2066666666.6666667,0.004835670466059483,-14.081650923669695
2126262626.2626262,0.002976636417672651,-12.59693446806681
2185858585.858586,0.0015642756095495258,-11.186500121764677
2245454545.4545455,-0.0003128275674200154,-9.548092101580234
2305050505.050505,4.032271339491466,-6.11665364649323
2364646464.646465,3.801025945771851,-10.059376702768972
2424242424.2424245,2.575305954350436,-10.390424384518411
2483838383.8383837,1.7459793962786376,-10.024827249818465
2543434343.4343433,1.1877840783415907,-9.46201660473152
2603030303.030303,0.8039463919218246,-8.843151511660263
2662626262.6262627,0.5366892291073495,-8.215915723266182
2722222222.2222223,0.3510850028717958,-7.5964393270215815
2781818181.818182,0.22535094453320503,-6.9885316850870876
2841414141.4141417,0.1455927669832049,-6.390720691734533
2901010101.010101,0.10290744314166989,-5.799087679261982
2960606060.6060605,0.09174301317728406,-5.208451648860365
3020202020.20202,0.10896175121177132,-4.612836641003103
3079797979.79798,0.15332536920496342,-4.005596177034736
3139393939.3939395,0.22525998493417698,-3.3793519090566058
3198989898.989899,0.32683570312753707,-2.7258110306269643
3258585858.585859,0.46194561248315047,-2.035483198884279
3318181818.181818,0.6367107517768837,-1.2972942520504107
3377777777.7777777,0.8601847996996366,-0.49807986201950083
3437373737.3737373,1.1454996919491482,0.3780653540856864
3496969696.969697,1.5117033582975905,1.3506044316032946
3556565656.5656567,1.9867327101946852,2.443529811278521
3616161616.1616163,2.612312785380782,3.6863695263219225
3675757575.757576,3.452216263785841,5.114780555655987
3735353535.353535,4.606508599982684,6.769355069306596
3794949494.949495,6.236516464169258,8.688647271431673
3854545454.5454545,8.608366838760567,10.884987531485594
3914141414.141414,12.16378364586085,13.270645008992972
3973737373.737374,17.60230665967755,15.446923607023109
4033333333.3333335,25.796201580649615,16.17087664642619
4092929292.929293,36.73608879775436,12.497808430684607
4152525252.5252523,46.33129512069166,0.8183642960265551
4212121212.121212,46.59815561243049,-15.916484730717233
4271717171.7171717,37.565914564266855,-27.764675222896955
4331313131.313131,27.049824204212264,-31.843600320321187
4390909090.909091,19.035797192636018,-31.57952341830856
4450505050.505051,13.61498344624007,-29.78959146137127
4510101010.10101,10.00362277646893,-27.6982740104935
4569696969.69697,7.550511362729932,-25.722770927717193
4629292929.29293,5.835208875527028,-23.97205471230798
4688888888.888889,4.599670227361097,-22.44982322905326
4748484848.484849,3.6847940445468925,-21.128179511330604
4808080808.080808,2.99022159560287,-19.972995631565084
4867676767.676767,2.4507850671377813,-18.951781811295334
4927272727.272727,2.022789946621714,-18.035135583948545
4986868686.868687,1.6758196599932722,-17.19548968858255
5046464646.464646,1.3875190130620831,-16.403691658773802
5106060606.060606,1.1396213953962526,-15.620865738083298
5165656565.656566,0.9128938393078503,-14.77239159537147
5225252525.252525,0.670338480992946,-13.603842856478835
5284848484.848485,3.3979212883716485,-11.350878640727
5344444444.444445,3.968048431138472,-13.619072423925486
5404040404.040404,3.3625615355370293,-14.398629004798117
5463636363.636364,2.690573989604398,-14.575142635587714
5523232323.232324,2.1017061470912104,-14.452624851119591
5582828282.828283,1.6178620742020107,-14.168991074968373
5642424242.424242,1.2325718830159742,-13.794762815277672
5702020202.020202,0.9335200126888938,-13.36819313852041
5761616161.616161,0.7087422796228672,-12.910500175171894
5821212121.212121,0.5483161948132077,-12.433301352575052
5880808080.808081,0.4446744348490177,-11.942531292021508
5940404040.40404,0.3925167763538062,-11.440618775582687
6000000000.0,0.38865317638063024,-10.927743953463652
