,Re,Im
100000000.0,5.240252676230739e-14,-1203.48515967207
209259259.25925925,6.750155989720952e-14,-574.252917417496
318518518.5185185,1.7763568394002505e-15,-376.2459900394422
427777777.7777778,-1.7319479184152442e-14,-278.97177530186264
537037037.037037,-1.0835776720341528e-13,-220.85141970320583
646296296.2962962,4.3520742565306136e-14,-181.89649942211312
755555555.5555556,-6.661338147750939e-14,-153.60739999951025
864814814.8148148,-2.3359092438113294e-13,-131.66113248308363
974074074.074074,1.3855583347321954e-13,-113.45708137114754
1083333333.3333333,4.440892098500626e-14,-96.98217859103214
1192592592.5925925,-1.1191048088221578e-13,-79.75145604596625
1301851851.8518517,1.2079226507921703e-13,-55.64473029061175
1411111111.1111112,-2.4868995751603507e-13,15.542928720449094
1520370370.3703704,1.2789769243681803e-12,-277.18517824470314
1629629629.6296296,-1.0658141036401503e-13,-128.9568617239089
1738888888.8888888,-2.4868995751603507e-14,-102.85780523247774
1848148148.148148,1.3500311979441904e-13,-90.06811754012082
1957407407.4074073,7.105427357601002e-15,-81.66390268873069
2066666666.6666665,3.552713678800501e-15,-75.30256752900058
2175925925.9259257,3.375077994860476e-14,-69.95956125557788
2285185185.185185,-4.263256414560601e-14,-63.5628812543697
2394444444.444444,2.906196672884347,-64.06806647397455
2503703703.7037034,1.4425958304620288,-61.46339599977319
2612962962.9629626,0.7330310224639254,-58.51843348221478
2722222222.2222223,0.37394291665805657,-55.71394967653933
2831481481.4814816,0.20297649633286707,-53.09042026410286
2940740740.740741,0.15036087474549387,-50.61823777898511
3050000000.0,0.1866277296397505,-48.25256761127234
3159259259.259259,0.30453239852920455,-45.942683169178004
3268518518.5185184,0.5141207076450267,-43.63070991629679
3377777777.7777777,0.8456455586424321,-41.24596159279458
3487037037.037037,1.3617628865150855,-38.69515143367738
3596296296.296296,2.187959361665108,-35.84702865172326
3705555555.5555553,3.588027938004932,-32.512069963305
3814814814.8148146,6.164792530239811,-28.44234816575115
3924074074.074074,11.421324258144871,-23.556398496730587
4033333333.333333,22.964560859701095,-19.804480550810656
4142592592.5925922,41.99952087104265,-29.41079651160834
4251851851.8518515,40.38795108590395,-56.30645483558958
4361111111.111111,22.474918441311125,-63.816925483969456
4470370370.37037,12.167719574261982,-60.586215683154215
4579629629.629629,7.260318155401338,-56.53818001788101
4688888888.888888,4.725221193571815,-53.207672937885675
4798148148.148148,3.278481992140609,-50.5547673360125
4907407407.407407,2.3793365880442554,-48.38255259284262
5016666666.666666,1.7755527796596908,-46.51683466047394
5125925925.925925,1.3280939216570946,-44.77293022624422
5235185185.1851845,0.8841663765835008,-42.54084532735997
5344444444.444445,3.8374310475609636,-42.31589891264459
5453703703.703704,2.807489724070786,-42.783168894453176
5562962962.962963,1.8844714663149236,-42.152820511213115
5672222222.222222,1.2599983092423266,-41.18682035006199
5781481481.481482,0.8759634120901088,-40.10951781959329
5890740740.740741,0.6762489506349421,-38.99378155208606
6000000000.0,0.6271253186953554,-37.85750459666371
