,Re,Im
100000000.0,2.557849765327802e-13,0.8079005679043781
303448275.86206895,-1.3683498778505054e-14,2.534258826270785
506896551.7241379,-3.2085445411667024e-14,4.545709715638521
710344827.5862069,2.473576898864849e-13,7.186210403090906
913793103.4482758,-9.325873406851315e-15,11.23504002945403
1117241379.3103447,2.6556534749033744e-13,19.160019736577983
1320689655.1724138,1.1937117960769683e-12,45.94702146722817
1524137931.0344827,1.7763568394002505e-12,-168.30396624475554
1727586206.8965516,-1.9184653865522705e-13,-29.75436129542858
1931034482.7586205,7.105427357601002e-14,-15.523715150998783
2134482758.6206894,7.460698725481052e-14,-9.404156392685852
2337931034.4827585,4.299437849590049,-6.007297754130239
2541379310.3448277,1.1834499251502626,-6.033557808195797
2744827586.2068963,0.2786517380243303,-3.6987248291760664
2948275862.0689654,0.051809529611898664,-1.4423939465333344
3151724137.931034,0.16475569056527783,0.8573160004723208
3355172413.793103,0.6234223462571817,3.486576121543977
3558620689.6551723,1.7325677983201824,6.922095809043444
3762068965.517241,4.684333162159518,12.087618477536948
3965517241.37931,15.110549717454582,19.818949018397635
4168965517.241379,45.33441782829109,3.9571149315247336
4372413793.103448,20.970605153320424,-24.616186650280376
4575862068.965517,7.182263504111644,-18.29190842656195
4779310344.827586,3.185981927427224,-13.139235304068276
4982758620.689655,1.5939825817260287,-9.69028984713669
5186206896.5517235,0.7223657687854317,-6.66501496490323
5389655172.413793,3.3972194258984576,-6.193956790765811
5593103448.275862,1.4415015372003839,-5.829187066209451
5796551724.137931,0.46814694622583597,-4.149229481247122
6000000000.0,0.1818448499461131,-2.2399061799256472
