,Re,Im
100000000.0,-3.130213644710056e-15,-3.716384079396772
220408163.26530612,5.222168183993681e-15,-0.3588493025887886
340816326.53061223,-5.54385096857013e-15,1.3377510169908589
461224489.79591835,-1.7195988556706343e-15,2.76544332817454
581632653.0612245,-2.9733702479328716e-15,4.216962936599343
702040816.3265306,2.4494295480792516e-15,5.858410103007377
822448979.5918367,1.0161901702054887e-14,7.876725731373268
942857142.8571428,8.413408858487514e-17,10.57901592716062
1063265306.1224489,1.2371397309363097e-14,14.597334479110005
1183673469.387755,-6.683889552938638e-15,21.562687833121636
1304081632.6530612,7.318798345146149e-15,37.50237524064957
1424489795.9183674,6.407201158520337e-14,119.03746910800899
1544897959.1836734,-1.43982048506075e-14,-109.39795761022998
1665306122.4489794,5.245803791353865e-15,-37.60904727282164
1785714285.7142856,2.1201790323388536e-14,-22.41960165936606
1906122448.9795918,4.912736883966318e-15,-15.61303424777289
2026530612.2448978,2.029279522197669e-14,-11.571167159218385
2146938775.5102038,1.6667223157185163e-14,-8.644469489167848
2267346938.77551,1.5987211554602254e-14,-5.371086941191945
2387755102.0408163,2.9441851270215262,-6.734032816741664
2508163265.3061223,1.3429427214795138,-6.097683275815274
2628571428.5714283,0.6039118880750878,-4.834815524880784
2748979591.836735,0.2412459305704897,-3.555231211844098
2869387755.102041,0.07413128005861686,-2.31409725157677
2989795918.367347,0.030547144026259375,-1.087550441481972
3110204081.6326528,0.08459256554002917,0.1670418631377905
3230612244.8979588,0.23750752988191942,1.5035179657001636
3351020408.163265,0.5161117571045462,2.9918505344825848
3471428571.428571,0.9852546338152914,4.730173093341034
3591836734.693877,1.784903890584031,6.8655188460185155
3712244897.9591837,3.2309226811876655,9.623714025056438
3832653061.2244897,6.110033211170387,13.309546487932288
3953061224.4897957,12.586251343271478,17.878649600774107
4073469387.7551017,27.708127768041237,18.932394647530117
4193877551.0204077,43.04113881073079,-2.2376398149187637
4314285714.285714,27.72990850095035,-22.242960969436183
4434693877.55102,13.660738434361186,-21.634504788853175
4555102040.816326,7.354569898143201,-17.760020770865744
4675510204.081633,4.376683901887276,-14.521075673526097
4795918367.346938,2.786926997492306,-12.050831521696846
4916326530.612245,1.8434348648450516,-10.112626002970439
5036734693.877551,1.2283032057208034,-8.494057838332967
5157142857.142857,0.7727178505369736,-6.958043879876987
5277551020.408163,2.021489381589185,-3.6198375017899203
5397959183.67347,2.4517724106621235,-5.878827178565434
5518367346.938775,1.4614026799124464,-5.668748433799876
5638775510.204082,0.7761854730832957,-4.895114892362827
5759183673.469387,0.3673958512055432,-3.9532337394826134
5879591836.734694,0.16550971848380952,-2.9547384679091233
6000000000.0,0.12837198800380947,-1.92538220126742
