           x [cm]           y [cm]           z [cm]       HxRe [A/m]       HxIm [A/m]       HyRe [A/m]       HyIm [A/m]       HzRe [A/m]       HzIm [A/m]
---------------------------------------------------------------------------------------------------------------------------------------------------------
               -5               -5                0                0       -56038.418                0        56042.125                0       0.21086554
             -4.9               -5                0                0       -56474.188                0        55354.258                0       0.66596353
             -4.8               -5                0                0       -56908.836                0        54659.555                0       0.69287962
             -4.7               -5                0                0       -57361.078                0        53909.027                0       0.29903984
             -4.6               -5                0                0       -57814.223                0        53156.191                0      0.051091835
             -4.5               -5                0                0       -58242.531                0        52410.055                0       0.52776182
             -4.4               -5                0                0       -58674.312                0        51644.902                0       0.75899762
             -4.3               -5                0                0       -59115.789                0        50838.691                0      -0.39796847
             -4.2               -5                0                0       -59520.508                0        49999.449                0       -1.2532437
             -4.1               -5                0                0       -59896.062                0        49131.867                0       -1.1343613
               -4               -5                0                0       -60283.969                0        48228.664                0       0.19484425
             -3.9               -5                0                0       -60675.719                0        47303.109                0       0.73692155
             -3.8               -5                0                0       -61046.715                0        46378.961                0       0.46177313
             -3.7               -5                0                0       -61410.211                0        45452.199                0      -0.63598871
             -3.6               -5                0                0       -61779.121                0        44489.953                0      -0.25365186
             -3.5               -5                0                0       -62147.789                0        43513.684                0       0.53728592
             -3.4               -5                0                0       -62465.832                0        42487.031                0       0.85076278
             -3.3               -5                0                0       -62785.855                0        41459.238                0       0.47891396
             -3.2               -5                0                0       -63109.168                0        40401.621                0      0.040384177
             -3.1               -5                0                0        -63433.66                0        39324.336                0      -0.12069495
               -3               -5                0                0       -63758.227                0        38243.312                0      -0.22235104
             -2.9               -5                0                0       -64082.887                0        37158.535                0      -0.26458445
             -2.8               -5                0                0       -64388.875                0        36053.996                0      -0.28319502
             -2.7               -5                0                0       -64636.758                0        34896.223                0      -0.34480351
             -2.6               -5                0                0       -64884.031                0        33734.504                0      -0.33417279
             -2.5               -5                0                0       -65130.711                0        32568.857                0      -0.25130287
             -2.4               -5                0                0       -65376.781                0        31399.273                0      -0.09619385
             -2.3               -5                0                0       -65619.703                0        30202.055                0      -0.31629276
             -2.2               -5                0                0       -65858.875                0        28981.184                0        -0.674914
             -2.1               -5                0                0       -66096.234                0        27757.266                0      -0.73439568
               -2               -5                0                0       -66331.766                0        26530.299                0      -0.49473745
             -1.9               -5                0                0       -66565.484                0        25300.285                0      0.044060804
             -1.8               -5                0                0        -66734.75                0        24024.184                0     0.0080473423
             -1.7               -5                0                0       -66889.422                0        22738.578                0      -0.10870844
             -1.6               -5                0                0       -67042.328                0        21452.502                0      -0.14575762
             -1.5               -5                0                0       -67193.461                0        20165.955                0      -0.10310027
             -1.4               -5                0                0       -67342.555                0        18874.664                0      0.026408669
             -1.3               -5                0                0       -67487.922                0        17552.207                0        0.1292989
             -1.2               -5                0                0       -67631.594                0        16229.232                0      0.031190038
