           x [cm]           y [cm]           z [cm]       ExRe [V/m]       ExIm [V/m]       EyRe [V/m]       EyIm [V/m]       EzRe [V/m]       EzIm [V/m]
              4.3               -5                1       -16760.615                0        8911.2627                0         22178712                0
              4.4               -5                1        4160.4648                0        9458.5996                0         19413346                0
              4.5               -5                1        11602.892                0        3664.2246                0         16395150                0
              4.6               -5                1        1669.8987                0         1277.493                0         13247398                0
              4.7               -5                1       -2756.5732                0       -1784.3601                0         10030834                0
              4.8               -5                1        980.86609                0        1258.2284                0        6751263.5                0
              4.9               -5                1        5678.3472                0       -4932.9214                0        3392257.8                0
                5               -5                1        9216.2471                0       -9213.8877                0        8430.9785                0
               -5             -4.9                1       -7933.4458                0       -4116.0791                0         -3386837                0
             -4.9             -4.9                1       -5473.1851                0       -4055.6914                0       -135.17139                0
             -4.8             -4.9                1       -1962.1438                0       -1546.3958                0        3363146.2                0
             -4.7             -4.9                1        2809.6106                0       -1483.8372                0        6661880.5                0
             -4.6             -4.9                1        1476.3292                0        639.73279                0          9877068                0
             -4.5             -4.9                1       -7996.2148                0        9020.7686                0         13029296                0
             -4.4             -4.9                1        -25112.98                0        22957.395                0         16119453                0
             -4.3             -4.9                1        10293.316                0        11808.469                0         18929024                0
             -4.2             -4.9                1        25780.773                0        1565.6318                0         21556154                0
             -4.1             -4.9                1        16619.195                0       -2125.4336                0         24023724                0
               -4             -4.9                1       -11476.848                0        363.42264                0         26331884                0
             -3.9             -4.9                1        5668.6338                0         817.0481                0         28424324                0
             -3.8             -4.9                1        24837.838                0       -1300.7568                0         30251902                0
             -3.7             -4.9                1        46030.672                0       -5989.9814                0         31814608                0
             -3.6             -4.9                1        42834.738                0       -8749.3799                0         33059552                0
             -3.5             -4.9                1        4088.6328                0       -6075.7173                0         33982652                0
             -3.4             -4.9                1       -9544.7656                0       -3389.0574                0         34714688                0
             -3.3             -4.9                1        1934.6162                0       -689.39844                0         35255672                0
             -3.2             -4.9                1         10291.98                0        7300.8091                0         35366900                0
             -3.1             -4.9                1        10876.676                0        13511.897                0         35169400                0
               -3             -4.9                1        11957.662                0        15014.172                0         34761036                0
             -2.9             -4.9                1        413.86523                0        7625.1553                0         34162916                0
             -2.8             -4.9                1       -13786.812                0        41.570435                0         33310778                0
             -2.7             -4.9                1       -5740.3018                0        6181.1963                0         32118532                0
             -2.6             -4.9                1       -1145.9348                0        8723.3418                0         30686776                0
             -2.5             -4.9                1        972.15405                0         8663.707                0         29026156                0
             -2.4             -4.9                1        2139.7493                0        318.35651                0         27193340                0
             -2.3             -4.9                1        1537.4419                0       -1123.5999                0         25137710                0
             -2.2             -4.9                1        3687.0544                0        3836.5903                0         22910138                0
             -2.1             -4.9                1         10620.31                0        2608.7412                0         20567374                0
               -2             -4.9                1        19028.367                0       -8179.6655                0         18141036                0
             -1.9             -4.9                1        25997.107                0       -26677.436                0         15622517                0
             -1.8             -4.9                1        29086.676                0       -37867.668                0         13057504                0
             -1.7             -4.9                1        32009.418                0       -46746.402                0         10459663                0
             -1.6             -4.9                1        11937.651                0        -28802.73                0          7718945                0
             -1.5             -4.9                1        2651.9834                0       -15937.656                0        4982086.5                0
             -1.4             -4.9                1        1129.0393                0       -10688.073                0        2253226.8                0
             -1.3             -4.9                1       -14445.688                0       -24383.455                0        -389081.5                0
             -1.2             -4.9                1       -24878.771                0        -35465.57                0       -2933074.5                0
             -1.1             -4.9                1       -28270.562                0       -40688.422                0         -5370684                0
               -1             -4.9                1       -11805.541                0       -18026.662                0         -7651464                0
             -0.9             -4.9                1        1288.4707                0       -6250.5146                0         -9781714                0
             -0.8             -4.9                1        4099.0176                0       -10598.907                0        -11686539                0
             -0.7             -4.9                1        8054.5752                0       -5334.7393                0        -13460365                0
             -0.6             -4.9                1        16721.896                0       -273.89453                0        -15064702                0
             -0.5             -4.9                1        29853.641                0        191.58801                0        -16486668                0
             -0.4             -4.9                1        31686.762                0       -2380.1353                0        -17611276                0
             -0.3             -4.9                1        20216.328                0       -505.17529                0        -18457634                0
             -0.2             -4.9                1         32.51416                0        6610.9014                0        -19064998                0
             -0.1             -4.9                1       -23717.129                0        7932.6323                0        -19476700                0
                0             -4.9                1        55024.125                0        3740.0625                0        -19704594                0
              0.1             -4.9                1        23717.129                0        7932.6323                0        -19476700                0
              0.2             -4.9                1        -32.51416                0        6610.9014                0        -19064998                0
              0.3             -4.9                1       -20216.328                0       -505.17529                0        -18457634                0
              0.4             -4.9                1       -31686.762                0       -2380.1353                0        -17611276                0
              0.5             -4.9                1       -29853.641                0        191.58801                0        -16486668                0
              0.6             -4.9                1       -16721.896                0       -273.89453                0        -15064702                0
              0.7             -4.9                1       -8054.5752                0       -5334.7393                0        -13460365                0
              0.8             -4.9                1       -4099.0176                0       -10598.907                0        -11686539                0
              0.9             -4.9                1       -1288.4707                0       -6250.5146                0         -9781714                0
                1             -4.9                1        11805.541                0       -18026.662                0         -7651464                0
              1.1             -4.9                1        28270.562                0       -40688.422                0         -5370684                0
              1.2             -4.9                1        24878.771                0        -35465.57                0       -2933074.5                0
              1.3             -4.9                1        14445.688                0       -24383.455                0        -389081.5                0
              1.4             -4.9                1       -1129.0393                0       -10688.073                0        2253226.8                0
              1.5             -4.9                1       -2651.9834                0       -15937.656                0        4982086.5                0
              1.6             -4.9                1       -11937.651                0        -28802.73                0          7718945                0
              1.7             -4.9                1       -32009.418                0       -46746.402                0         10459663                0
              1.8             -4.9                1       -29086.676                0       -37867.668                0         13057504                0
              1.9             -4.9                1       -25997.107                0       -26677.436                0         15622517                0
                2             -4.9                1       -19028.367                0       -8179.6655                0         18141036                0
              2.1             -4.9                1        -10620.31                0        2608.7412                0         20567374                0
              2.2             -4.9                1       -3687.0544                0        3836.5903                0         22910138                0
              2.3             -4.9                1       -1537.4419                0       -1123.5999                0         25137710                0
              2.4             -4.9                1       -2139.7493                0        318.35651                0         27193340                0
              2.5             -4.9                1       -972.15405                0         8663.707                0         29026156                0
              2.6             -4.9                1        1145.9348                0        8723.3418                0         30686776                0
              2.7             -4.9                1        5740.3018                0        6181.1963                0         32118532                0
              2.8             -4.9                1        13786.812                0        41.570435                0         33310778                0
              2.9             -4.9                1       -413.86523                0        7625.1553                0         34162916                0
                3             -4.9                1       -11957.662                0        15014.172                0         34761036                0
              3.1             -4.9                1       -10876.676                0        13511.897                0         35169400                0
              3.2             -4.9                1        -10291.98                0        7300.8091                0         35366900                0
              3.3             -4.9                1       -1934.6162                0       -689.39844                0         35255672                0
              3.4             -4.9                1        9544.7656                0       -3389.0574                0         34714688                0
              3.5             -4.9                1       -4088.6328                0       -6075.7173                0         33982652                0
              3.6             -4.9                1       -42834.738                0       -8749.3799                0         33059552                0
              3.7             -4.9                1       -46030.672                0       -5989.9814                0         31814608                0
              3.8             -4.9                1       -24837.838                0       -1300.7568                0         30251902                0
              3.9             -4.9                1       -5668.6338                0         817.0481                0         28424324                0
                4             -4.9                1        11476.848                0        363.42264                0         26331884                0
              4.1             -4.9                1       -16619.195                0       -2125.4336                0         24023724                0
              4.2             -4.9                1       -25780.773                0        1565.6318                0         21556154                0
              4.3             -4.9                1       -10293.316                0        11808.469                0         18929024                0
              4.4             -4.9                1         25112.98                0        22957.395                0         16119453                0
              4.5             -4.9                1        7996.2148                0        9020.7686                0         13029296                0
              4.6             -4.9                1       -1476.3292                0        639.73279                0          9877068                0
              4.7             -4.9                1       -2809.6106                0       -1483.8372                0        6661880.5                0
              4.8             -4.9                1        1962.1438                0       -1546.3958                0        3363146.2                0
              4.9             -4.9                1        5473.1851                0       -4055.6914                0       -135.17139                0
                5             -4.9                1        7933.4458                0       -4116.0791                0         -3386837                0
               -5             -4.8                1       -4007.4448                0        2495.1318                0         -6759107                0
             -4.9             -4.8                1       -2634.4893                0        -967.5257                0         -3371325                0
             -4.8             -4.8                1       -201.08667                0       -2678.8103                0       -5167.3389                0
             -4.7             -4.8                1         3625.604                0       -2548.3076                0        3325938.5                0
             -4.6             -4.8                1        5360.9067                0       -1516.0791                0          6539718                0
             -4.5             -4.8                1       -1043.0579                0        5773.6191                0          9690539                0
             -4.4             -4.8                1       -10088.631                0        11663.887                0         12773237                0
             -4.3             -4.8                1       -8391.8623                0        8497.4307                0         15673765                0
             -4.2             -4.8                1         9313.293                0        1630.2183                0         18342674                0
             -4.1             -4.8                1        24183.859                0       -3185.0222                0         20864068                0
               -4             -4.8                1        14405.511                0       -1448.5547                0         23225908                0
             -3.9             -4.8                1         7884.293                0        1437.0491                0         25401886                0
             -3.8             -4.8                1        15876.649                0        100.42041                0         27316760                0
             -3.7             -4.8                1        25892.656                0       -3807.6296                0         28966762                0
             -3.6             -4.8                1        17492.336                0       -1936.8306                0         30268284                0
             -3.5             -4.8                1        5586.3906                0        342.01501                0         31367112                0
             -3.4             -4.8                1       -9827.2178                0        713.23328                0         32236972                0
             -3.3             -4.8                1       -7537.8569                0        -1102.327                0         32884856                0
             -3.2             -4.8                1        1988.3926                0        7669.4902                0         33108136                0
             -3.1             -4.8                1        6685.5332                0        15986.575                0         33034540                0
               -3             -4.8                1        1744.1519                0        15563.819                0         32778920                0
             -2.9             -4.8                1       -10619.229                0        8698.2119                0         32311680                0
             -2.8             -4.8                1       -22190.998                0        2997.9932                0         31582392                0
             -2.7             -4.8                1       -12373.266                0        11226.109                0         30512246                0
             -2.6             -4.8                1       -4382.6357                0        8045.4907                0         29272676                0
             -2.5             -4.8                1        1780.8514                0       -6543.8438                0         27863694                0
             -2.4             -4.8                1        5550.2822                0       -15852.922                0         26182794                0
             -2.3             -4.8                1        3146.1074                0       -10116.994                0         24256192                0
             -2.2             -4.8                1        309.39258                0        4413.7568                0         22169264                0
             -2.1             -4.8                1        1348.6934                0        5499.2783                0         20021696                0
               -2             -4.8                1        2941.5894                0        2410.2568                0         17751556                0
             -1.9             -4.8                1        5088.0889                0       -4853.3203                0         15358834                0
             -1.8             -4.8                1        2397.9238                0       -11596.102                0         12910990                0
             -1.7             -4.8                1        4316.3438                0       -22408.822                0         10450009                0
             -1.6             -4.8                1        12427.622                0       -38333.504                0          7970951                0
             -1.5             -4.8                1        14301.095                0       -43249.133                0          5417611                0
             -1.4             -4.8                1        6828.6748                0       -36389.145                0        2793542.5                0
             -1.3             -4.8                1       -14960.634                0       -56164.781                0        247334.25                0
             -1.2             -4.8                1       -18548.865                0       -46195.094                0       -2134808.2                0
             -1.1             -4.8                1       -14973.467                0       -28779.129                0       -4414068.5                0
               -1             -4.8                1       -7536.4258                0       -10708.522                0         -6607677                0
             -0.9             -4.8                1        664.26202                0       -631.64954                0         -8651595                0
             -0.8             -4.8                1        4410.8857                0       -2602.0959                0        -10471271                0
