           x [cm]           y [cm]           z [cm]       ExRe [V/m]       ExIm [V/m]       EyRe [V/m]       EyIm [V/m]       EzRe [V/m]       EzIm [V/m]
---------------------------------------------------------------------------------------------------------------------------------------------------------
                0                0                0       -28752.357                0        28752.357                0        -78784128                0
                0                0             0.02       -26756.047                0        36026.258                0        -78777472                0
                0                0             0.04       -25053.879                0        42604.547                0        -78772048                0
                0                0             0.06       -23645.852                0        48487.215                0        -78767840                0
                0                0             0.08       -22531.969                0        53674.266                0        -78764856                0
                0                0              0.1       -21712.229                0        58165.703                0        -78763088                0
                0                0             0.12       -21186.635                0        61961.527                0        -78762544                0
                0                0             0.14       -20955.182                0         65061.73                0        -78763232                0
                0                0             0.16       -21017.871                0        67466.328                0        -78765136                0
                0                0             0.18       -21374.707                0        69175.305                0        -78768264                0
                0                0              0.2       -22025.682                0        70188.656                0        -78772616                0
                0                0             0.22       -22970.803                0        70506.398                0        -78778184                0
                0                0             0.24       -24210.068                0        70128.531                0        -78784984                0
                0                0             0.26       -25743.475                0        69055.039                0        -78793000                0
                0                0             0.28       -27571.023                0         67285.93                0        -78802232                0
                0                0              0.3       -29692.717                0        64821.215                0        -78812696                0
                0                0             0.32       -32108.553                0        61660.883                0        -78824376                0
                0                0             0.34       -34818.527                0         57804.93                0        -78837280                0
                0                0             0.36       -37822.656                0        53253.352                0        -78851408                0
                0                0             0.38       -41120.922                0        48006.172                0        -78866752                0
                0                0              0.4       -44713.328                0        42063.375                0        -78883328                0
                0                0             0.42       -48599.883                0        35424.953                0        -78901120                0
                0                0             0.44       -52780.578                0        28090.928                0        -78920144                0
                0                0             0.46        -57255.43                0        20061.262                0        -78940384                0
                0                0             0.48       -62024.402                0        11336.008                0        -78961848                0
                0                0              0.5       -67087.523                0        1915.1381                0        -78984528                0
                0                0             0.52       -64438.711                0       -3405.8159                0        -78968000                0
                0                0             0.54       -61787.016                0       -8289.7402                0        -78952048                0
                0                0             0.56       -59132.414                0        -12736.65                0        -78936688                0
                0                0             0.58        -56474.93                0       -16746.518                0        -78921912                0
                0                0              0.6       -53814.551                0       -20319.361                0        -78907728                0
                0                0             0.62       -51151.285                0       -23455.172                0        -78894120                0
                0                0             0.64       -48485.133                0       -26153.953                0        -78881104                0
                0                0             0.66       -45816.078                0       -28415.709                0        -78868680                0
                0                0             0.68       -43144.141                0       -30240.432                0        -78856832                0
                0                0              0.7       -40469.312                0       -31628.125                0        -78845576                0
                0                0             0.72        -37791.59                0       -32578.791                0        -78834912                0
                0                0             0.74        -35110.98                0       -33092.426                0        -78824824                0
                0                0             0.76       -32427.482                0       -33169.031                0        -78815328                0
                0                0             0.78       -29741.096                0       -32808.609                0        -78806416                0
                0                0              0.8       -27051.807                0       -32011.152                0        -78798088                0
                0                0             0.82       -24359.637                0       -30776.672                0        -78790344                0
                0                0             0.84       -21664.574                0       -29105.158                0        -78783200                0
                0                0             0.86       -18966.615                0       -26996.613                0        -78776632                0
                0                0             0.88       -16265.773                0       -24451.045                0        -78770648                0
                0                0              0.9       -13562.039                0       -21468.447                0        -78765256                0
                0                0             0.92       -10855.409                0       -18048.812                0        -78760448                0
                0                0             0.94        -8145.895                0       -14192.155                0        -78756232                0
                0                0             0.96       -5433.4897                0       -9898.4707                0        -78752592                0
                0                0             0.98       -2718.1865                0       -5167.7437                0        -78749544                0
                0                0                1                0                0                0                0        -78747080                0
