           x [cm]           y [cm]           z [cm]       ExRe [V/m]       ExIm [V/m]       EyRe [V/m]       EyIm [V/m]       EzRe [V/m]       EzIm [V/m]
---------------------------------------------------------------------------------------------------------------------------------------------------------
               -5               -5                1       -6166.0635                0        -6167.311                0        -18058768                0
             -4.9               -5                1         -2464.03                0       -4572.4766                0        -16443141                0
             -4.8               -5                1        423.82346                0       -628.61157                0        -14792614                0
             -4.7               -5                1       -753.52942                0       -191.30835                0        -13110774                0
             -4.6               -5                1        90.728691                0        111.06464                0        -11401667                0
             -4.5               -5                1       -59.102112                0        1188.5731                0         -9673636                0
             -4.4               -5                1        226.15079                0       -319.15961                0       -7923792.5                0
             -4.3               -5                1        2538.4556                0        634.62396                0       -6173281.5                0
             -4.2               -5                1        769.48743                0         2950.707                0         -4358691                0
             -4.1               -5                1       -2710.5435                0        4512.7651                0         -2513568                0
               -4               -5                1       -2701.7109                0        1725.4548                0       -682156.88                0
             -3.9               -5                1        1308.8789                0       -3707.9165                0        1127758.1                0
             -3.8               -5                1        3747.5554                0       -7503.0615                0        2910939.8                0
             -3.7               -5                1        3082.1025                0       -5362.0215                0        4665383.5                0
             -3.6               -5                1        -39.89502                0       -5316.9736                0        6392023.5                0
             -3.5               -5                1       -2192.9631                0       -5526.4072                0          8102833                0
             -3.4               -5                1       -1942.2053                0       -2501.1533                0          9782030                0
             -3.3               -5                1        801.92371                0       -781.67822                0         11424856                0
             -3.2               -5                1        3234.6992                0       -574.11023                0         12999590                0
             -3.1               -5                1        3547.4116                0       -1100.9602                0         14527612                0
               -3               -5                1        2339.5938                0       -2157.5745                0         16023078                0
             -2.9               -5                1       -388.75204                0       -3743.9536                0         17485992                0
             -2.8               -5                1       -2264.8005                0       -5769.7578                0         18891336                0
             -2.7               -5                1        1449.4271                0       -6860.1284                0         20173968                0
             -2.6               -5                1        3311.4575                0       -6573.9155                0         21403134                0
             -2.5               -5                1         3321.283                0       -4911.1216                0         22578826                0
             -2.4               -5                1         1478.911                0       -1871.7485                0         23701050                0
             -2.3               -5                1        2645.9927                0         585.0293                0         24769902                0
             -2.2               -5                1        7961.2939                0        2466.3223                0         25791068                0
             -2.1               -5                1        13785.975                0        5378.7793                0         26766188                0
               -2               -5                1        20120.012                0        9322.3828                0         27695258                0
             -1.9               -5                1        26963.422                0        14297.161                0         28578280                0
             -1.8               -5                1        17653.918                0        9968.8428                0         29312818                0
             -1.7               -5                1        8132.5376                0        5082.6338                0         29981194                0
             -1.6               -5                1          2064.45                0        1805.6362                0         30604480                0
             -1.5               -5                1       -550.33337                0        137.85132                0         31182680                0
             -1.4               -5                1        504.06464                0        444.56238                0         31717538                0
             -1.3               -5                1        4078.4807                0        3258.5176                0         32229796                0
             -1.2               -5                1        6686.1787                0        4616.6777                0         32714720                0
             -1.1               -5                1         8327.165                0        4519.0381                0         33172316                0
               -1               -5                1        9001.4355                0        2965.5991                0         33602584                0
             -0.9               -5                1        9006.0264                0        833.24634                0         33939740                0
             -0.8               -5                1         7058.314                0       -149.67139                0         34161940                0
             -0.7               -5                1        2158.8445                0       -653.44092                0         34364056                0
             -0.6               -5                1       -5692.3789                0       -678.06396                0         34546080                0
             -0.5               -5                1       -16495.361                0       -223.53894                0         34708008                0
             -0.4               -5                1       -8962.5352                0        4363.3804                0         34858192                0
             -0.3               -5                1        -107.4834                0        5584.0049                0         34992680                0
             -0.2               -5                1        492.31763                0        1010.2532                0         35108184                0
             -0.1               -5                1       -7163.1377                0        -9357.876                0         35204704                0
                0               -5                1        23073.848                0       -25520.385                0         35282248                0
              0.1               -5                1        7163.1377                0        -9357.876                0         35204704                0
              0.2               -5                1       -492.31763                0        1010.2532                0         35108184                0
              0.3               -5                1         107.4834                0        5584.0049                0         34992680                0
              0.4               -5                1        8962.5352                0        4363.3804                0         34858192                0
              0.5               -5                1        16495.361                0       -223.53894                0         34708008                0
              0.6               -5                1        5692.3789                0       -678.06396                0         34546080                0
              0.7               -5                1       -2158.8445                0       -653.44092                0         34364056                0
              0.8               -5                1        -7058.314                0       -149.67139                0         34161940                0
              0.9               -5                1       -9006.0264                0        833.24634                0         33939740                0
                1               -5                1       -9001.4355                0        2965.5991                0         33602584                0
              1.1               -5                1        -8327.165                0        4519.0381                0         33172316                0
              1.2               -5                1       -6686.1787                0        4616.6777                0         32714720                0
              1.3               -5                1       -4078.4807                0        3258.5176                0         32229796                0
              1.4               -5                1       -504.06464                0        444.56238                0         31717538                0
              1.5               -5                1        550.33337                0        137.85132                0         31182680                0
              1.6               -5                1         -2064.45                0        1805.6362                0         30604480                0
              1.7               -5                1       -8132.5376                0        5082.6338                0         29981194                0
              1.8               -5                1       -17653.918                0        9968.8428                0         29312818                0
              1.9               -5                1       -26963.422                0        14297.161                0         28578280                0
                2               -5                1       -20120.012                0        9322.3828                0         27695258                0
              2.1               -5                1       -13785.975                0        5378.7793                0         26766188                0
              2.2               -5                1       -7961.2939                0        2466.3223                0         25791068                0
              2.3               -5                1       -2645.9927                0         585.0293                0         24769902                0
              2.4               -5                1        -1478.911                0       -1871.7485                0         23701050                0
              2.5               -5                1        -3321.283                0       -4911.1216                0         22578826                0
              2.6               -5                1       -3311.4575                0       -6573.9155                0         21403134                0
              2.7               -5                1       -1449.4271                0       -6860.1284                0         20173968                0
              2.8               -5                1        2264.8005                0       -5769.7578                0         18891336                0
              2.9               -5                1        388.75204                0       -3743.9536                0         17485992                0
                3               -5                1       -2339.5938                0       -2157.5745                0         16023078                0
              3.1               -5                1       -3547.4116                0       -1100.9602                0         14527612                0
              3.2               -5                1       -3234.6992                0       -574.11023                0         12999590                0
              3.3               -5                1       -801.92371                0       -781.67822                0         11424856                0
              3.4               -5                1        1942.2053                0       -2501.1533                0          9782030                0
              3.5               -5                1        2192.9631                0       -5526.4072                0          8102833                0
