#
#"Mode Number"	"Q factors (Multiple Modes)"
#------------------------------------------------------
1.0000000000000	1.1474252779724
2.0000000000000	2.4503823976128
3.0000000000000	2.6338202022613
4.0000000000000	3.6206579558438
5.0000000000000	4.0161606150977
6.0000000000000	4.1289945192670
7.0000000000000	4.7408577561174
8.0000000000000	5.2793648823206
9.0000000000000	5.5442336004156
10.000000000000	5.6261560955159
11.000000000000	5.8329912584208
12.000000000000	6.4839187337564
13.000000000000	6.8576336506584
14.000000000000	6.9067119788925
15.000000000000	7.0596674518577
16.000000000000	7.1240544787893
17.000000000000	7.6520925729560
18.000000000000	7.9671394298445
19.000000000000	8.1130435526869
20.000000000000	8.4051981887188
21.000000000000	8.5692606020687
22.000000000000	8.6222962667443
23.000000000000	8.7950759503437
24.000000000000	9.0173996974692
25.000000000000	9.3299137253977
26.000000000000	9.6955712668188
27.000000000000	9.9192733842133
28.000000000000	9.9372575538474
29.000000000000	10.060128614275
30.000000000000	10.075699515362
31.000000000000	10.120775748489
32.000000000000	10.518892405511
33.000000000000	10.947675638808
34.000000000000	11.028617768258
35.000000000000	11.095132724566
36.000000000000	11.253622023237
37.000000000000	11.460244166578
38.000000000000	11.579976606478
39.000000000000	11.619287277789
40.000000000000	11.686653495162
41.000000000000	12.125195615551
42.000000000000	12.127269435545
43.000000000000	12.171169986786
44.000000000000	12.532478416799
45.000000000000	12.796624561733
46.000000000000	12.836538629111
47.000000000000	12.977577726039
48.000000000000	13.082951755699
49.000000000000	13.117549289841
50.000000000000	13.150152864572
51.000000000000	13.214993403661
52.000000000000	13.371381626373
53.000000000000	13.782383043756
54.000000000000	13.973084240331
55.000000000000	14.096606559830
56.000000000000	14.173663335983
57.000000000000	14.292310415527
58.000000000000	14.330085252381
59.000000000000	14.490810732591
60.000000000000	14.553000223219
61.000000000000	14.585513872458
62.000000000000	14.616430424735
63.000000000000	15.008276806364
64.000000000000	15.045914843467
65.000000000000	15.072764541728
66.000000000000	15.098324106435
67.000000000000	15.189351183008
68.000000000000	15.199097455097
69.000000000000	15.215647512525
70.000000000000	15.230532625608
71.000000000000	15.338000982601
72.000000000000	15.365076070468
73.000000000000	15.368583922091
74.000000000000	15.424591069285
75.000000000000	15.432675201095
76.000000000000	15.528594660492
77.000000000000	15.558043819860
78.000000000000	15.643399056739
79.000000000000	15.646700381303
80.000000000000	15.695449035959
81.000000000000	15.718479266892
82.000000000000	15.734159050491
83.000000000000	15.737585906428
84.000000000000	15.856120396619
85.000000000000	15.902998575427
86.000000000000	15.990671251445
87.000000000000	16.001263766602
88.000000000000	16.016952157729
89.000000000000	16.019952275911
90.000000000000	16.023729694079
91.000000000000	16.087165582110
92.000000000000	16.097898735864
93.000000000000	16.114511021326
94.000000000000	16.177367745854
95.000000000000	16.198731276389
96.000000000000	16.211286229521
97.000000000000	16.216235458049
98.000000000000	16.264384340727
99.000000000000	16.342092852597
100.00000000000	16.402712437684
101.00000000000	16.426769061349
102.00000000000	16.449516731322
103.00000000000	16.494233432504
104.00000000000	16.519510642984
105.00000000000	16.578239803646
106.00000000000	16.606007557582
107.00000000000	16.616584744629
108.00000000000	16.681348853171
109.00000000000	16.825618579484
110.00000000000	16.833217889757
111.00000000000	16.843086326393
112.00000000000	16.874257650049
113.00000000000	16.908555930391
114.00000000000	16.935799499023
115.00000000000	16.936858167186
116.00000000000	16.991317447219
117.00000000000	17.055584903803
118.00000000000	17.186911754809
119.00000000000	17.195260008584
120.00000000000	17.213552958729
121.00000000000	17.239910283287
122.00000000000	17.274999844465
123.00000000000	17.302312835191
124.00000000000	17.309858941109
125.00000000000	17.315934078030
126.00000000000	17.376941959542
127.00000000000	17.396541024617
128.00000000000	17.408528691152
129.00000000000	17.441642164593
130.00000000000	17.475112589856
131.00000000000	17.488874895446
132.00000000000	17.509814947145
133.00000000000	17.511528804595
134.00000000000	17.577750099680
135.00000000000	17.586381572607
136.00000000000	17.611979759957
137.00000000000	17.658224616144
138.00000000000	17.669159582290
139.00000000000	17.824917929834
140.00000000000	17.845251785827
141.00000000000	17.850149798142
142.00000000000	17.862798413109
143.00000000000	17.994886338148
144.00000000000	17.995362935636
145.00000000000	18.013986496429
146.00000000000	18.057355595791
147.00000000000	18.071089273634
148.00000000000	18.072452015931
149.00000000000	18.096572896238
150.00000000000	18.106814043665
151.00000000000	18.199613477641
152.00000000000	18.217568298160
153.00000000000	18.294463919303
154.00000000000	18.329410510078
155.00000000000	18.382979732778
156.00000000000	18.418194063161
157.00000000000	18.421514112113
158.00000000000	18.490519062726
159.00000000000	18.498692005045
160.00000000000	18.499461433632
161.00000000000	18.539823813594
162.00000000000	18.577407765529
163.00000000000	18.584437715298
164.00000000000	18.632197564130
165.00000000000	18.675916726440
166.00000000000	18.679361104612
167.00000000000	18.720987815556
168.00000000000	18.755967045647
169.00000000000	18.815935673080
170.00000000000	18.881332679118
171.00000000000	18.893552637707
172.00000000000	18.954526582621
173.00000000000	18.969276592195
174.00000000000	18.979111082109
175.00000000000	19.015196278201
176.00000000000	19.030217318674
177.00000000000	19.049282449451
178.00000000000	19.055715651313
179.00000000000	19.085105291032
180.00000000000	19.107834612037
181.00000000000	19.143480095592
182.00000000000	19.186318193791
183.00000000000	19.214693384054
184.00000000000	19.224717134116
185.00000000000	19.309287269786
186.00000000000	19.310508194450
187.00000000000	19.328484861055
188.00000000000	19.331153350180
189.00000000000	19.345517706958
190.00000000000	19.419506569315
191.00000000000	19.444260956360
192.00000000000	19.499838121011
193.00000000000	19.556039958578
194.00000000000	19.559713219917
