           x [cm]           y [cm]           z [cm]       ExRe [V/m]       ExIm [V/m]       EyRe [V/m]       EyIm [V/m]       EzRe [V/m]       EzIm [V/m]
---------------------------------------------------------------------------------------------------------------------------------------------------------
               -5               -5                1        18018.127                0         18013.77                0        -98910.25                0
             -4.9               -5                1       -2194.9883                0        16047.076                0        174304.45                0
             -4.8               -5                1       -14218.332                0        1545.9265                0        616542.94                0
             -4.7               -5                1       -4649.1826                0       -3373.0432                0        1224078.6                0
             -4.6               -5                1        3078.6606                0       -1215.4683                0        1941088.1                0
             -4.5               -5                1       -2903.0715                0       -4569.5371                0        2766992.5                0
             -4.4               -5                1       -6218.6685                0        13053.457                0        3726356.5                0
             -4.3               -5                1        16374.146                0        32355.219                0          4854124                0
             -4.2               -5                1        26614.078                0         26413.76                0        6041406.5                0
             -4.1               -5                1         22502.57                0        415.01465                0          7262625                0
               -4               -5                1         15057.95                0       -12550.951                0          8619427                0
             -3.9               -5                1        7324.2642                0       -12324.225                0         10093800                0
             -3.8               -5                1        1183.9153                0       -11807.445                0         11593775                0
             -3.7               -5                1       -529.72461                0       -13033.847                0         13127813                0
             -3.6               -5                1       -6084.2036                0       -18654.293                0         14729344                0
             -3.5               -5                1       -11341.147                0       -19126.275                0         16339878                0
             -3.4               -5                1       -4562.2334                0       -11209.291                0         17902866                0
             -3.3               -5                1       -3050.4146                0       -3634.8748                0         19458320                0
             -3.2               -5                1        4583.9297                0       -5531.1748                0         20998502                0
             -3.1               -5                1        10887.812                0       -8407.8027                0         22507616                0
               -3               -5                1        10816.264                0       -7777.5024                0         23985404                0
             -2.9               -5                1        4369.3027                0        -3640.282                0         25431868                0
             -2.8               -5                1       -2128.0239                0       -2304.9634                0         26791862                0
             -2.7               -5                1        5795.3672                0       -14522.379                0         27920360                0
             -2.6               -5                1        9417.6504                0       -19384.697                0         28969164                0
             -2.5               -5                1        8738.8125                0       -16891.898                0         29938274                0
             -2.4               -5                1        3758.8662                0       -7044.0073                0         30827690                0
             -2.3               -5                1        5658.5981                0         270.5957                0         31645586                0
             -2.2               -5                1        16097.872                0        7313.4766                0         32392758                0
             -2.1               -5                1         26419.52                0        22863.441                0         33062754                0
               -2               -5                1        36623.492                0        46920.422                0         33655572                0
             -1.9               -5                1        46709.828                0          79484.5                0         34171212                0
             -1.8               -5                1        31414.779                0        59480.242                0         34397984                0
             -1.7               -5                1        15744.902                0        34080.176                0         34519732                0
             -1.6               -5                1        5335.1577                0         15672.45                0         34581288                0
             -1.5               -5                1        185.56592                0        4257.0986                0         34582644                0
             -1.4               -5                1        781.67358                0        1138.5361                0         34530568                0
             -1.3               -5                1        6177.3389                0        9542.3027                0         34495504                0
             -1.2               -5                1        9811.3701                0        16350.857                0         34451548                0
             -1.1               -5                1        11683.768                0        21564.219                0         34398696                0
               -1               -5                1        11794.532                0        25182.375                0         34336948                0
             -0.9               -5                1        13456.559                0        19900.762                0         34160972                0
             -0.8               -5                1         14793.08                0        7283.7041                0         33854732                0
             -0.7               -5                1        9795.8535                0       -485.45508                0         33577944                0
             -0.6               -5                1       -1535.1147                0        -3406.709                0         33330604                0
             -0.5               -5                1        -19199.84                0       -1480.0608                0         33112722                0
             -0.4               -5                1        -4547.875                0       -208.83887                0         32980430                0
             -0.3               -5                1        9040.5146                0       -2613.8955                0         32915578                0
             -0.2               -5                1        3749.5811                0       -7490.2837                0         32897488                0
             -0.1               -5                1       -20420.686                0       -14838.002                0         32926168                0
                0               -5                1        63470.281                0       -24657.055                0         33001608                0
              0.1               -5                1        20420.686                0       -14838.002                0         32926168                0
              0.2               -5                1       -3749.5811                0       -7490.2837                0         32897488                0
              0.3               -5                1       -9040.5146                0       -2613.8955                0         32915578                0
              0.4               -5                1         4547.875                0       -208.83887                0         32980430                0
              0.5               -5                1         19199.84                0       -1480.0608                0         33112722                0
              0.6               -5                1        1535.1147                0        -3406.709                0         33330604                0
              0.7               -5                1       -9795.8535                0       -485.45508                0         33577944                0
              0.8               -5                1        -14793.08                0        7283.7041                0         33854732                0
              0.9               -5                1       -13456.559                0        19900.762                0         34160972                0
                1               -5                1       -11794.532                0        25182.375                0         34336948                0
              1.1               -5                1       -11683.768                0        21564.219                0         34398696                0
              1.2               -5                1       -9811.3701                0        16350.857                0         34451548                0
              1.3               -5                1       -6177.3389                0        9542.3027                0         34495504                0
              1.4               -5                1       -781.67358                0        1138.5361                0         34530568                0
              1.5               -5                1       -185.56592                0        4257.0986                0         34582644                0
