           x [cm]           y [cm]           z [cm]       ExRe [V/m]       ExIm [V/m]       EyRe [V/m]       EyIm [V/m]       EzRe [V/m]       EzIm [V/m]
---------------------------------------------------------------------------------------------------------------------------------------------------------
               -5               -5                1        752.09003                0        751.86273                0        -20542346                0
             -4.9               -5                1       -119.59091                0        527.43457                0        -21046160                0
             -4.8               -5                1       -651.69672                0        7.6123877                0        -21543120                0
             -4.7               -5                1       -39.366364                0        69.603874                0        -22033108                0
             -4.6               -5                1        203.50804                0         24.43885                0        -22519122                0
             -4.5               -5                1        1011.1758                0        165.09674                0        -23000216                0
             -4.4               -5                1        248.84943                0       -280.03253                0        -23474326                0
             -4.3               -5                1       -1025.2999                0       -977.12848                0        -23936488                0
             -4.2               -5                1       -692.92517                0       -1041.3555                0        -24391838                0
             -4.1               -5                1        705.38049                0       -423.06116                0        -24839606                0
               -4               -5                1        1058.0251                0       -12.619492                0        -25282104                0
             -3.9               -5                1        58.406158                0        220.67966                0        -25717112                0
             -3.8               -5                1       -607.50085                0        690.35419                0        -26141652                0
             -3.7               -5                1       -572.47449                0        778.38928                0        -26555658                0
             -3.6               -5                1        -10.21228                0        995.69348                0        -26960456                0
             -3.5               -5                1        378.45639                0        1057.5702                0        -27357802                0
             -3.4               -5                1        430.69806                0        575.00195                0        -27747452                0
             -3.3               -5                1       -229.54456                0        163.35893                0        -28130938                0
             -3.2               -5                1        -606.5368                0       -67.987434                0        -28500952                0
             -3.1               -5                1       -561.66559                0       -125.03279                0        -28860676                0
               -3               -5                1       -396.59613                0       -44.654358                0        -29213076                0
             -2.9               -5                1       -111.32851                0         173.1476                0        -29558144                0
             -2.8               -5                1        101.19876                0        331.28043                0        -29892494                0
             -2.7               -5                1       -152.73129                0        19.067383                0        -30208450                0
             -2.6               -5                1       -273.08997                0       -155.68982                0        -30516088                0
             -2.5               -5                1       -259.87677                0       -192.99059                0        -30815408                0
             -2.4               -5                1       -113.09215                0       -92.835213                0        -31106418                0
             -2.3               -5                1       -256.48352                0       -3.1694336                0        -31386700                0
             -2.2               -5                1       -937.69885                0        62.769165                0        -31655484                0
             -2.1               -5                1       -1884.2258                0        222.16113                0        -31914520                0
               -2               -5                1       -3096.0603                0        475.00616                0        -32163800                0
             -1.9               -5                1       -4573.2056                0        821.30255                0        -32403328                0
             -1.8               -5                1        -2923.437                0        643.68494                0        -32623014                0
             -1.7               -5                1       -1210.7277                0         398.1001                0        -32830716                0
             -1.6               -5                1       -164.39532                0        207.82703                0        -33028488                0
             -1.5               -5                1        215.55762                0        72.867126                0        -33216330                0
             -1.4               -5                1       -8.0947723                0        5.4592133                0        -33393798                0
             -1.3               -5                1       -177.99316                0        51.453735                0        -33558140                0
             -1.2               -5                1       -532.81696                0        99.953369                0        -33712468                0
             -1.1               -5                1       -1072.5673                0        150.95874                0        -33856784                0
               -1               -5                1       -1797.2439                0        204.46997                0        -33991096                0
             -0.9               -5                1       -1788.2407                0        160.54297                0        -34108636                0
             -0.8               -5                1        -602.8739                0          20.5359                0        -34206960                0
             -0.7               -5                1        491.08328                0       -57.144249                0        -34295712                0
             -0.6               -5                1        1493.6295                0       -72.497375                0        -34374900                0
             -0.5               -5                1        2404.7661                0        -25.52351                0        -34444516                0
             -0.4               -5                1         2055.387                0       -488.63812                0        -34499956                0
             -0.3               -5                1        1159.1967                0       -757.23553                0        -34542896                0
             -0.2               -5                1        204.38107                0       -531.44531                0        -34575064                0
             -0.1               -5                1       -809.05994                0        188.73282                0        -34596464                0
                0               -5                1        1881.1262                0        1403.2986                0        -34607096                0
              0.1               -5                1        809.05994                0        188.73282                0        -34596464                0
              0.2               -5                1       -204.38107                0       -531.44531                0        -34575064                0
              0.3               -5                1       -1159.1967                0       -757.23553                0        -34542896                0
              0.4               -5                1        -2055.387                0       -488.63812                0        -34499956                0
              0.5               -5                1       -2404.7661                0        -25.52351                0        -34444516                0
              0.6               -5                1       -1493.6295                0       -72.497375                0        -34374900                0
              0.7               -5                1       -491.08328                0       -57.144249                0        -34295712                0
              0.8               -5                1         602.8739                0          20.5359                0        -34206960                0
              0.9               -5                1        1788.2407                0        160.54297                0        -34108636                0
                1               -5                1        1797.2439                0        204.46997                0        -33991096                0
              1.1               -5                1        1072.5673                0        150.95874                0        -33856784                0
              1.2               -5                1        532.81696                0        99.953369                0        -33712468                0
              1.3               -5                1        177.99316                0        51.453735                0        -33558140                0
              1.4               -5                1        8.0947723                0        5.4592133                0        -33393798                0
              1.5               -5                1       -215.55762                0        72.867126                0        -33216330                0
              1.6               -5                1        164.39532                0        207.82703                0        -33028488                0
              1.7               -5                1        1210.7277                0         398.1001                0        -32830716                0
              1.8               -5                1         2923.437                0        643.68494                0        -32623014                0
              1.9               -5                1        4573.2056                0        821.30255                0        -32403328                0
                2               -5                1        3096.0603                0        475.00616                0        -32163800                0
              2.1               -5                1        1884.2258                0        222.16113                0        -31914520                0
              2.2               -5                1        937.69885                0        62.769165                0        -31655484                0
              2.3               -5                1        256.48352                0       -3.1694336                0        -31386700                0
              2.4               -5                1        113.09215                0       -92.835213                0        -31106418                0
              2.5               -5                1        259.87677                0       -192.99059                0        -30815408                0
              2.6               -5                1        273.08997                0       -155.68982                0        -30516088                0
              2.7               -5                1        152.73129                0        19.067383                0        -30208450                0
              2.8               -5                1       -101.19876                0        331.28043                0        -29892494                0
              2.9               -5                1        111.32851                0         173.1476                0        -29558144                0
                3               -5                1        396.59613                0       -44.654358                0        -29213076                0
              3.1               -5                1        561.66559                0       -125.03279                0        -28860676                0
              3.2               -5                1         606.5368                0       -67.987434                0        -28500952                0
              3.3               -5                1        229.54456                0        163.35893                0        -28130938                0
              3.4               -5                1       -430.69806                0        575.00195                0        -27747452                0
              3.5               -5                1       -378.45639                0        1057.5702                0        -27357802                0
              3.6               -5                1         10.21228                0        995.69348                0        -26960456                0
              3.7               -5                1        572.47449                0        778.38928                0        -26555658                0
              3.8               -5                1        607.50085                0        690.35419                0        -26141652                0
              3.9               -5                1       -58.406158                0        220.67966                0        -25717112                0
                4               -5                1       -1058.0251                0       -12.619492                0        -25282104                0
              4.1               -5                1       -705.38049                0       -423.06116                0        -24839606                0
              4.2               -5                1        692.92517                0       -1041.3555                0        -24391838                0
              4.3               -5                1        1025.2999                0       -977.12848                0        -23936488                0
              4.4               -5                1       -248.84943                0       -280.03253                0        -23474326                0
              4.5               -5                1       -1011.1758                0        165.09674                0        -23000216                0
              4.6               -5                1       -203.50804                0         24.43885                0        -22519122                0
              4.7               -5                1        39.366364                0        69.603874                0        -22033108                0
              4.8               -5                1        651.69672                0        7.6123877                0        -21543120                0
              4.9               -5                1        119.59091                0        527.43457                0        -21046160                0
                5               -5                1       -752.09003                0        751.86273                0        -20542346                0
               -5             -4.9                1        1378.8489                0        496.48672                0        -21047252                0
             -4.9             -4.9                1        592.82166                0        519.16974                0        -21554704                0
             -4.8             -4.9                1        98.720657                0        214.94211                0        -22055362                0
             -4.7             -4.9                1        476.34473                0        163.37766                0        -22549040                0
             -4.6             -4.9                1        1005.7778                0        356.92474                0        -23038040                0
             -4.5             -4.9                1        1141.9282                0        434.79807                0        -23523088                0
             -4.4             -4.9                1        926.81622                0        411.27408                0        -24004136                0
             -4.3             -4.9                1       -637.90613                0       -419.76093                0        -24468616                0
             -4.2             -4.9                1       -1240.8965                0       -792.06171                0        -24925436                0
             -4.1             -4.9                1       -835.84894                0       -629.35828                0        -25376300                0
               -4             -4.9                1         354.7673                0       -35.291771                0        -25821300                0
             -3.9             -4.9                1       -183.92201                0       -22.258713                0        -26259804                0
             -3.8             -4.9                1       -783.11182                0        319.11603                0        -26689762                0
             -3.7             -4.9                1        -1442.799                0        988.83099                0        -27111166                0
             -3.6             -4.9                1       -1409.5166                0        1405.7091                0        -27521440                0
             -3.5             -4.9                1       -248.12315                0        858.09814                0        -27919328                0
             -3.4             -4.9                1        200.78929                0        381.41269                0        -28311044                0
             -3.3             -4.9                1       -62.781494                0       -24.347418                0        -28696600                0
             -3.2             -4.9                1       -425.26132                0       -336.63101                0        -29069086                0
             -3.1             -4.9                1       -532.04974                0       -511.84076                0        -29431500                0
               -3             -4.9                1       -518.63959                0        -549.6264                0        -29786586                0
             -2.9             -4.9                1        -4.677063                0       -184.20731                0        -30132860                0
             -2.8             -4.9                1        541.97736                0        206.71143                0        -30468914                0
             -2.7             -4.9                1       -22.791168                0        365.10284                0        -30791090                0
             -2.6             -4.9                1       -281.02991                0        328.28607                0        -31102482                0
             -2.5             -4.9                1       -301.72729                0        117.14102                0        -31403568                0
             -2.4             -4.9                1       -188.85318                0        43.451897                0        -31696340                0
             -2.3             -4.9                1       -300.38196                0       -426.22223                0        -31978320                0
             -2.2             -4.9                1       -893.11475                0         -1251.47                0        -32248738                0
             -2.1             -4.9                1       -1751.1592                0       -1983.2654                0        -32509408                0
               -2             -4.9                1       -2210.7949                0       -1490.6339                0        -32758610                0
             -1.9             -4.9                1       -2040.1996                0        97.202942                0        -32996158                0
             -1.8             -4.9                1        -1907.709                0        1842.3027                0        -33221594                0
             -1.7             -4.9                1       -2109.8896                0        3257.9602                0        -33435678                0
             -1.6             -4.9                1       -991.24109                0        2104.2371                0        -33634424                0
             -1.5             -4.9                1       -538.97156                0        1005.8267                0        -33823240                0
             -1.4             -4.9                1       -691.06445                0       -28.233261                0        -34001684                0
             -1.3             -4.9                1       -794.83008                0        -971.8382                0        -34166972                0
             -1.2             -4.9                1       -1083.5215                0        -1912.936                0        -34322252                0
             -1.1             -4.9                1       -1351.7805                0       -2570.2239                0        -34467128                0
               -1             -4.9                1       -281.93448                0       -910.95337                0        -34598624                0
             -0.9             -4.9                1        70.583641                0       -42.082214                0        -34716728                0
             -0.8             -4.9                1       -217.19048                0       -168.77924                0        -34820492                0
             -0.7             -4.9                1        290.77905                0       -138.64407                0        -34910836                0
             -0.6             -4.9                1        1073.6249                0        -57.81044                0        -34990192                0
