           x [cm]           y [cm]           z [cm]       HxRe [A/m]       HxIm [A/m]       HyRe [A/m]       HyIm [A/m]       HzRe [A/m]       HzIm [A/m]
---------------------------------------------------------------------------------------------------------------------------------------------------------
               -5               -5                1                0        47009.227                0       -47021.695                0        9.6039848
             -4.9               -5                1                0        49603.641                0       -48656.016                0        11.160984
             -4.8               -5                1                0        52163.297                0        -50227.73                0        7.0493679
             -4.7               -5                1                0        54778.125                0       -51429.023                0       -2.7111971
             -4.6               -5                1                0        57399.219                0       -52624.809                0        2.1038718
             -4.5               -5                1                0        59854.812                0       -53835.156                0        11.837536
             -4.4               -5                1                0        62328.328                0       -54935.277                0         22.57865
             -4.3               -5                1                0        64875.023                0       -55811.941                0        10.944005
             -4.2               -5                1                0        66687.734                0       -56038.109                0       -9.9439335
             -4.1               -5                1                0        67862.656                0       -55699.293                0       -24.123425
               -4               -5                1                0        69080.391                0       -55273.172                0       -19.078545
             -3.9               -5                1                0        70389.133                0       -54823.477                0       -9.5428114
             -3.8               -5                1                0         71600.82                0       -54330.715                0       -6.6146197
             -3.7               -5                1                0        72684.211                0       -53779.812                0       -14.521373
             -3.6               -5                1                0        73771.094                0       -53164.199                0       -13.311409
             -3.5               -5                1                0         74524.82                0       -52248.688                0       -3.2349465
             -3.4               -5                1                0        74568.656                0       -50734.559                0        9.4945087
             -3.3               -5                1                0        74600.516                0       -49210.816                0        15.715343
             -3.2               -5                1                0        74635.703                0       -47740.062                0        11.224478
             -3.1               -5                1                0        74665.125                0       -46282.188                0        5.1472254
               -3               -5                1                0         74682.18                0       -44809.648                0       0.46983862
             -2.9               -5                1                0        74686.852                0       -43322.422                0       -2.8077006
             -2.8               -5                1                0        74415.703                0       -41688.184                0       -4.1737461
             -2.7               -5                1                0        73329.352                0       -39644.145                0       -3.3818951
             -2.6               -5                1                0        72245.953                0       -37606.246                0       -2.5072041
             -2.5               -5                1                0        71165.523                0       -35574.488                0       -1.5496757
             -2.4               -5                1                0        70088.062                0       -33548.875                0       -0.5093081
             -2.3               -5                1                0        69045.305                0       -31667.668                0       -2.7183688
             -2.2               -5                1                0        68042.922                0       -29915.828                0       -6.5766473
             -2.1               -5                1                0        67056.609                0       -28175.578                0        -8.873641
               -2               -5                1                0        66086.375                0       -26446.926                0       -9.6093359
             -1.9               -5                1                0        65132.199                0       -24729.865                0       -8.7837582
             -1.8               -5                1                0        63554.059                0       -22930.303                0       -1.1933517
             -1.7               -5                1                0        61904.301                0       -21125.314                0        4.2991571
             -1.6               -5                1                0        60318.141                0       -19334.389                0         6.188098
             -1.5               -5                1                0        58795.578                0       -17557.531                0        4.4734688
             -1.4               -5                1                0        57366.125                0       -15850.302                0       0.59700847
             -1.3               -5                1                0        56232.609                0       -14550.744                0         3.096015
             -1.2               -5                1                0        55199.766                0       -13256.967                0        1.3594618
             -1.1               -5                1                0        54267.586                0       -11968.968                0       -4.6126404
               -1               -5                1                0        53436.098                0       -10686.748                0       -14.820304
             -0.9               -5                1                0        52459.148                0       -9439.6113                0        -14.41826
             -0.8               -5                1                0        51249.617                0       -8246.1699                0      -0.63390988
             -0.7               -5                1                0        50160.156                0       -7067.8389                0        4.2330799
             -0.6               -5                1                0        49190.781                0       -5904.6191                0       0.18270469
             -0.5               -5                1                0          48341.5                0       -4756.5103                0       -12.785043
             -0.4               -5                1                0        47894.445                0       -3750.8423                0       -18.901733
             -0.3               -5                1                0        47686.391                0       -2815.8257                0       -10.147299
             -0.2               -5                1                0        47601.039                0       -1899.3076                0         9.916914
             -0.1               -5                1                0        47638.398                0       -1001.2877                0        41.290916
                0               -5                1                0        47798.469                0        121.76636                0       -83.974701
              0.1               -5                1                0        47638.398                0        1001.2877                0       -41.290916
              0.2               -5                1                0        47601.039                0        1899.3076                0        -9.916914
              0.3               -5                1                0        47686.391                0        2815.8257                0        10.147299
              0.4               -5                1                0        47894.445                0        3750.8423                0        18.901733
              0.5               -5                1                0          48341.5                0        4756.5103                0        12.785043
              0.6               -5                1                0        49190.781                0        5904.6191                0      -0.18270469
              0.7               -5                1                0        50160.156                0        7067.8389                0       -4.2330799
              0.8               -5                1                0        51249.617                0        8246.1699                0       0.63390988
              0.9               -5                1                0        52459.148                0        9439.6113                0         14.41826
                1               -5                1                0        53436.098                0        10686.748                0        14.820304
              1.1               -5                1                0        54267.586                0        11968.968                0        4.6126404
              1.2               -5                1                0        55199.766                0        13256.967                0       -1.3594618
