           x [cm]           y [cm]           z [cm]       HxRe [A/m]       HxIm [A/m]       HyRe [A/m]       HyIm [A/m]       HzRe [A/m]       HzIm [A/m]
              4.3               -5                0                0        49978.223                0       -64452.004                0       -3.2763343
              4.4               -5                0                0        50218.898                0       -62957.746                0       0.24729224
              4.5               -5                0                0        50416.375                0       -61190.441                0        2.3718743
              4.6               -5                0                0        50597.285                0       -59297.816                0       0.33107394
              4.7               -5                0                0        50638.953                0       -57334.359                0       0.12525141
              4.8               -5                0                0        50699.801                0       -55360.652                0       -1.8578659
              4.9               -5                0                0        50708.086                0       -53073.066                0       -1.2491997
                5               -5                0                0        50719.277                0       -50748.648                0       0.26874003
               -5             -4.9                0                0        53048.824                0        50729.844                0        0.4068903
             -4.9             -4.9                0                0        53035.016                0        53052.328                0       0.88744146
             -4.8             -4.9                0                0        53026.734                0        55349.684                0       0.58420128
             -4.7             -4.9                0                0        52982.844                0        57433.641                0       -1.8010941
             -4.6             -4.9                0                0        52928.871                0         59373.82                0       -3.7724938
             -4.5             -4.9                0                0        52896.867                0        61304.781                0       -3.8809371
             -4.4             -4.9                0                0        52873.152                0        63221.551                0       -2.4043422
             -4.3             -4.9                0                0        52599.094                0        64693.992                0      -0.32159781
             -4.2             -4.9                0                0        52329.367                0        66096.023                0       0.38045716
             -4.1             -4.9                0                0        52085.762                0        67475.172                0       0.23030245
               -4             -4.9                0                0        51854.098                0        68725.875                0      -0.75094628
             -3.9             -4.9                0                0        51604.309                0        69648.297                0      -0.91544008
             -3.8             -4.9                0                0        51373.883                0        70535.484                0       0.61884642
             -3.7             -4.9                0                0        51162.824                0        71387.461                0        3.8519082
             -3.6             -4.9                0                0        50839.602                0        72043.359                0        2.6281757
             -3.5             -4.9                0                0        50419.727                0        72303.289                0       0.76873577
             -3.4             -4.9                0                0        50010.926                0        72531.266                0     -0.076600671
             -3.3             -4.9                0                0        49613.215                0        72727.766                0        0.1060546
             -3.2             -4.9                0                0        49237.242                0        72603.711                0      -0.84634066
             -3.1             -4.9                0                0        48883.789                0        72260.414                0       -1.8178194
               -3             -4.9                0                0        48547.125                0        71882.688                0       -1.3384379
             -2.9             -4.9                0                0        48175.328                0        71452.719                0      -0.08233428
             -2.8             -4.9                0                0        47798.133                0        70851.039                0       0.26184583
             -2.7             -4.9                0                0        47473.602                0        69833.922                0       -1.3151996
             -2.6             -4.9                0                0        47069.426                0        68734.977                0      -0.59370375
             -2.5             -4.9                0                0        46601.883                0        67563.398                0        0.1195955
             -2.4             -4.9                0                0        46153.066                0        66352.125                0        2.5230372
             -2.3             -4.9                0                0        45741.891                0        64844.621                0        6.5647607
             -2.2             -4.9                0                0        45368.367                0        63082.523                0        11.706404
             -2.1             -4.9                0                0        45017.031                0        61288.457                0         17.82848
               -2             -4.9                0                0        44651.355                0        59445.266                0        15.279739
             -1.9             -4.9                0                0        44283.402                0        57551.988                0        3.0998302
             -1.8             -4.9                0                0         43986.32                0        55235.238                0       -8.8759384
             -1.7             -4.9                0                0        43699.961                0        52814.059                0       -18.443447
             -1.6             -4.9                0                0        43297.551                0        50339.562                0       -12.408705
             -1.5             -4.9                0                0        42918.172                0        47856.828                0        -5.945365
             -1.4             -4.9                0                0        42570.723                0        45313.969                0       0.60119319
             -1.3             -4.9                0                0        42313.453                0         42392.18                0        5.2889357
             -1.2             -4.9                0                0        42085.328                0        39464.422                0        10.740376
             -1.1             -4.9                0                0        41875.816                0        36527.586                0        15.238528
               -1             -4.9                0                0         41610.18                0        33558.309                0        6.5595942
             -0.9             -4.9                0                0        41408.164                0        30461.869                0         1.687387
             -0.8             -4.9                0                0        41285.844                0        27188.918                0        1.8670086
             -0.7             -4.9                0                0        41090.289                0        23890.154                0       0.35142702
             -0.6             -4.9                0                0        40883.711                0        20579.971                0      0.073167801
             -0.5             -4.9                0                0        40706.672                0        17265.469                0        2.2197208
             -0.4             -4.9                0                0        40618.961                0        13851.964                0        4.3068295
             -0.3             -4.9                0                0        40588.184                0        10395.356                0        2.5834317
             -0.2             -4.9                0                0        40590.074                0        6934.8594                0       -2.8155565
