           x [cm]           y [cm]           z [cm]       HxRe [A/m]       HxIm [A/m]       HyRe [A/m]       HyIm [A/m]       HzRe [A/m]       HzIm [A/m]
              4.2               -5                1                0        9725.6875                0       -44086.562                0        11.468901
              4.3               -5                1                0        8526.4922                0       -38471.691                0        15.230686
              4.4               -5                1                0        7562.8706                0        -32596.83                0         6.161787
              4.5               -5                1                0         6659.665                0       -26767.775                0      0.065531969
              4.6               -5                1                0        5807.4722                0       -20949.104                0       0.72744811
              4.7               -5                1                0        4754.9824                0        -15031.23                0       -4.2862563
              4.8               -5                1                0        3734.9177                0       -9118.0635                0       -3.8744373
              4.9               -5                1                0        2879.9546                0        -3483.125                0       -5.3435631
                5               -5                1                0        2050.2229                0        2109.4373                0       -4.4789848
               -5             -4.9                1                0       -3519.4458                0       -2922.8887                0     -0.038252831
             -4.9             -4.9                1                0       -2672.3857                0        2643.2388                0        1.9007263
             -4.8             -4.9                1                0       -1805.4717                0        8241.5078                0        1.2680706
             -4.7             -4.9                1                0       -828.26917                0        14016.455                0         4.204021
             -4.6             -4.9                1                0        245.35718                0        19903.887                0        6.4310727
             -4.5             -4.9                1                0        1355.8433                0        25797.777                0        3.0417593
             -4.4             -4.9                1                0        2484.5769                0         31688.66                0       -4.9852943
             -4.3             -4.9                1                0        3683.6128                0        37212.258                0       -9.7815695
             -4.2             -4.9                1                0        5039.8789                0        42592.094                0       -8.9451246
             -4.1             -4.9                1                0        6464.7109                0        47938.734                0       -4.3383017
               -4             -4.9                1                0        7955.6035                0        53238.039                0        3.1667676
             -3.9             -4.9                1                0        9463.4639                0        58352.344                0        3.3278732
             -3.8             -4.9                1                0        10989.914                0        63406.484                0        2.3697567
             -3.7             -4.9                1                0        12534.947                0        68400.422                0       0.29241967
             -3.6             -4.9                1                0         14141.39                0        72980.156                0     0.0019383356
             -3.5             -4.9                1                0        15738.189                0        76877.625                0        4.6558485
             -3.4             -4.9                1                0        17352.607                0        80732.836                0        4.8431072
             -3.3             -4.9                1                0        18984.648                0        84545.812                0       0.56369829
             -3.2             -4.9                1                0         20648.01                0        87711.344                0        1.4907064
             -3.1             -4.9                1                0        22341.691                0        90542.758                0        3.0287764
               -3             -4.9                1                0        24061.102                0        93289.281                0         1.266094
             -2.9             -4.9                1                0         25922.09                0         95775.93                0       -2.0835598
             -2.8             -4.9                1                0        27849.977                0         97839.75                0       -3.3059413
             -2.7             -4.9                1                0        29825.273                0        98979.242                0       -4.2606902
             -2.6             -4.9                1                0        31538.518                0        99852.508                0       -3.3942287
             -2.5             -4.9                1                0        33042.316                0        100494.66                0       -1.7088847
             -2.4             -4.9                1                0        34560.016                0        101032.91                0      -0.85703945
             -2.3             -4.9                1                0        36110.902                0        100793.08                0       -12.744345
             -2.2             -4.9                1                0         37685.57                0        99871.742                0       -34.132858
             -2.1             -4.9                1                0        39265.418                0         98850.07                0        -54.29805
               -2             -4.9                1                0        40904.742                0        97660.719                0       -44.429607
             -1.9             -4.9                1                0        42588.535                0        96311.945                0       -7.0273385
             -1.8             -4.9                1                0        44265.422                0            93729                0        26.023603
             -1.7             -4.9                1                0        45855.816                0        90816.156                0        51.386929
             -1.6             -4.9                1                0        46964.586                0        87565.766                0        32.796089
             -1.5             -4.9                1                0        48070.051                0        84278.859                0        14.972034
             -1.4             -4.9                1                0        49173.316                0        80797.297                0       -1.7752571
             -1.3             -4.9                1                0        50280.078                0        76144.461                0       -16.697128
             -1.2             -4.9                1                0        51381.668                0        71453.359                0       -32.924641
             -1.1             -4.9                1                0        52471.523                0        66720.977                0       -45.491985
               -1             -4.9                1                0        53492.164                0        61929.867                0       -19.128529
             -0.9             -4.9                1                0        54447.734                0        56733.148                0       -4.6577106
             -0.8             -4.9                1                0        55326.629                0        50969.289                0       -7.0636158
             -0.7             -4.9                1                0        55886.871                0        44958.898                0       -3.6309531
             -0.6             -4.9                1                0        56325.223                0        38851.062                0       0.55949354
             -0.5             -4.9                1                0        56760.727                0        32728.805                0         2.283047
             -0.4             -4.9                1                0        57150.422                0        26275.385                0       -4.5384045
             -0.3             -4.9                1                0         57516.32                0         19682.07                0       -4.3870883
             -0.2             -4.9                1                0        57875.652                0         13080.76                0        7.2978339
             -0.1             -4.9                1                0        58045.148                0        6556.2065                0        15.039639
                0             -4.9                1                0        58118.344                0       -70.966103                0       -19.890358
              0.1             -4.9                1                0        58045.148                0       -6556.2065                0       -15.039639
              0.2             -4.9                1                0        57875.652                0        -13080.76                0       -7.2978339
              0.3             -4.9                1                0         57516.32                0        -19682.07                0        4.3870883
              0.4             -4.9                1                0        57150.422                0       -26275.385                0        4.5384045
              0.5             -4.9                1                0        56760.727                0       -32728.805                0        -2.283047
              0.6             -4.9                1                0        56325.223                0       -38851.062                0      -0.55949354
              0.7             -4.9                1                0        55886.871                0       -44958.898                0        3.6309531
              0.8             -4.9                1                0        55326.629                0       -50969.289                0        7.0636158
              0.9             -4.9                1                0        54447.734                0       -56733.148                0        4.6577106
                1             -4.9                1                0        53492.164                0       -61929.867                0        19.128529
              1.1             -4.9                1                0        52471.523                0       -66720.977                0        45.491985
              1.2             -4.9                1                0        51381.668                0       -71453.359                0        32.924641
              1.3             -4.9                1                0        50280.078                0       -76144.461                0        16.697128
              1.4             -4.9                1                0        49173.316                0       -80797.297                0        1.7752571
              1.5             -4.9                1                0        48070.051                0       -84278.859                0       -14.972034
              1.6             -4.9                1                0        46964.586                0       -87565.766                0       -32.796089
              1.7             -4.9                1                0        45855.816                0       -90816.156                0       -51.386929
              1.8             -4.9                1                0        44265.422                0           -93729                0       -26.023603
