           x [cm]           y [cm]           z [cm]       ExRe [V/m]       ExIm [V/m]       EyRe [V/m]       EyIm [V/m]       EzRe [V/m]       EzIm [V/m]
---------------------------------------------------------------------------------------------------------------------------------------------------------
                0                0                0       -141236.86                0        141236.86                0       -242103.55                0
                0                0             0.02       -105326.29                0        96679.945                0       -209797.47                0
                0                0             0.04       -72705.695                0        55634.242                0       -178905.34                0
                0                0             0.06       -43375.047                0        18099.719                0       -149427.16                0
                0                0             0.08       -17334.387                0       -15923.586                0       -121362.95                0
                0                0              0.1        5416.3164                0       -46435.688                0       -94712.688                0
                0                0             0.12        24877.047                0       -73436.594                0       -69476.367                0
                0                0             0.14        41047.805                0       -96926.297                0       -45654.012                0
                0                0             0.16        53928.594                0        -116904.8                0       -23245.594                0
                0                0             0.18        63519.422                0       -133372.09                0        -2251.125                0
                0                0              0.2        69820.273                0       -146328.17                0        17329.375                0
                0                0             0.22        72831.164                0       -155773.06                0        35495.926                0
                0                0             0.24        72552.086                0       -161706.78                0        52248.543                0
                0                0             0.26        68983.039                0       -164129.27                0         67587.18                0
                0                0             0.28        62124.016                0       -163040.53                0        81511.883                0
                0                0              0.3         51975.02                0       -158440.61                0        94022.641                0
                0                0             0.32        38536.086                0        -150329.5                0        105119.42                0
                0                0             0.34         21807.18                0       -138707.19                0        114802.25                0
                0                0             0.36        1788.2461                0       -123573.64                0        123071.16                0
                0                0             0.38        -21520.59                0       -104928.93                0         129926.1                0
                0                0              0.4       -48119.426                0       -82772.984                0        135367.09                0
                0                0             0.42       -78008.242                0       -57105.844                0        139394.12                0
                0                0             0.44       -111186.98                0       -27927.535                0         142007.2                0
                0                0             0.46        -147655.8                0        4762.0703                0        143206.33                0
                0                0             0.48       -187414.44                0        40962.777                0         142991.5                0
                0                0              0.5       -230463.08                0         80674.68                0        141362.73                0
                0                0             0.52       -253216.92                0        116219.41                0        116019.98                0
                0                0             0.54       -273306.41                0        148533.16                0        92306.281                0
                0                0             0.56       -290731.56                0        177616.03                0         70221.57                0
                0                0             0.58       -305492.31                0        203467.81                0        49765.969                0
                0                0              0.6       -317588.75                0        226088.67                0        30939.383                0
                0                0             0.62       -327020.78                0        245478.56                0        13741.855                0
                0                0             0.64       -333788.44                0        261637.44                0       -1826.5977                0
                0                0             0.66       -337891.75                0        274565.34                0       -15766.043                0
                0                0             0.68       -339330.69                0        284262.28                0       -28076.404                0
                0                0              0.7       -338105.25                0        290728.22                0       -38757.711                0
                0                0             0.72       -334215.47                0        293963.22                0       -47810.004                0
                0                0             0.74       -327661.31                0        293967.19                0       -55233.215                0
                0                0             0.76       -318442.81                0        290740.22                0       -61027.379                0
                0                0             0.78       -306559.94                0        284282.25                0       -65192.492                0
                0                0              0.8       -292012.66                0        274593.28                0       -67728.562                0
                0                0             0.82       -274801.03                0        261673.38                0       -68635.586                0
                0                0             0.84       -254925.06                0        245522.48                0       -67913.555                0
                0                0             0.86       -232384.67                0        226140.56                0       -65562.469                0
                0                0             0.88       -207179.97                0        203527.72                0       -61582.344                0
                0                0              0.9       -179310.92                0        177683.91                0       -55973.168                0
                0                0             0.92       -148777.42                0        148609.03                0       -48734.926                0
                0                0             0.94       -115579.64                0        116303.27                0       -39867.648                0
                0                0             0.96         -79717.5                0        80766.531                0       -29371.332                0
                0                0             0.98       -41190.875                0        41998.699                0       -17245.924                0
                0                0                1                0                0                0                0       -3491.5027                0
