           x [cm]           y [cm]           z [cm]       ExRe [V/m]       ExIm [V/m]       EyRe [V/m]       EyIm [V/m]       EzRe [V/m]       EzIm [V/m]
---------------------------------------------------------------------------------------------------------------------------------------------------------
               -5               -5                1       -12723.211                0        -12717.63                0         56493200                0
             -4.9               -5                1        2819.4248                0       -8577.2246                0         56420672                0
             -4.8               -5                1        12355.518                0        2.9891357                0         56188392                0
             -4.7               -5                1        939.26318                0       -1037.2792                0         55789164                0
             -4.6               -5                1       -4035.8567                0       -686.96777                0         55286768                0
             -4.5               -5                1       -19184.545                0       -4075.5869                0         54667516                0
             -4.4               -5                1       -5036.8828                0        4405.4883                0         53888132                0
             -4.3               -5                1        16636.625                0        16769.004                0         52862916                0
             -4.2               -5                1        11642.533                0        17199.527                0         51658816                0
             -4.1               -5                1       -11766.863                0        5544.6064                0         50285624                0
               -4               -5                1       -17743.268                0       -531.16809                0         48809480                0
             -3.9               -5                1       -1383.9835                0        -2452.186                0         47204328                0
             -3.8               -5                1        9183.0449                0       -9404.5625                0         45424088                0
             -3.7               -5                1        8114.0176                0       -12380.624                0         43466864                0
             -3.6               -5                1        510.95654                0           -15372                0         41372512                0
             -3.5               -5                1       -4299.6782                0       -15494.461                0         39172988                0
             -3.4               -5                1       -5911.9854                0       -8556.4941                0         36873568                0
             -3.3               -5                1        3288.1809                0       -2439.3921                0         34502328                0
             -3.2               -5                1        7423.9795                0         1204.459                0         31985662                0
             -3.1               -5                1        6463.2017                0        2274.5283                0         29377988                0
               -3               -5                1        5600.0425                0        1294.2437                0         26713028                0
             -2.9               -5                1        4834.4985                0       -1736.3904                0         23990772                0
             -2.8               -5                1        4025.1365                0        -3635.877                0         21190068                0
             -2.7               -5                1        2897.5933                0        1829.5159                0         18296044                0
             -2.6               -5                1        1900.3394                0        4608.7007                0         15391605                0
             -2.5               -5                1        1033.3796                0         4701.668                0         12476760                0
             -2.4               -5                1        296.71085                0        2108.4236                0          9551506                0
             -2.3               -5                1       -468.35474                0       -126.89551                0        6621868.5                0
             -2.2               -5                1       -1855.9031                0       -1759.8823                0        3716088.5                0
             -2.1               -5                1       -3914.7451                0       -5210.0508                0        837700.75                0
               -2               -5                1       -6644.8711                0       -10477.385                0       -2013280.8                0
             -1.9               -5                1       -10046.293                0       -17561.898                0       -4836864.5                0
             -1.8               -5                1       -6533.9956                0       -13802.193                0         -7585544                0
             -1.7               -5                1       -2816.6565                0       -8628.5977                0        -10246430                0
             -1.6               -5                1       -511.80371                0       -4576.8486                0        -12824554                0
             -1.5               -5                1        380.56042                0        -1646.949                0        -15319912                0
             -1.4               -5                1       -556.11139                0       -233.86768                0        -17725834                0
             -1.3               -5                1       -4976.5352                0       -1874.0098                0        -19983006                0
             -1.2               -5                1       -9180.2432                0       -3033.0996                0        -22125040                0
             -1.1               -5                1       -13167.247                0       -3711.1309                0        -24151948                0
               -1               -5                1       -16937.541                0       -3908.1045                0        -26063722                0
             -0.9               -5                1        -14412.25                0       -2496.6528                0        -27791152                0
             -0.8               -5                1        -3086.405                0       -124.48315                0        -29286586                0
             -0.7               -5                1        8474.9863                0        1160.0459                0        -30639614                0
             -0.6               -5                1        20271.914                0        1356.9331                0        -31850240                0
             -0.5               -5                1        32304.391                0        466.17865                0        -32918468                0
             -0.4               -5                1        30699.338                0       -5220.3374                0        -33763896                0
             -0.3               -5                1        19336.982                0       -8659.9561                0        -34410976                0
             -0.2               -5                1        3224.1782                0       -7485.5479                0        -34889064                0
             -0.1               -5                1        -17639.08                0        -1697.111                0        -35198160                0
                0               -5                1        43252.789                0        8705.3496                0        -35338268                0
              0.1               -5                1         17639.08                0        -1697.111                0        -35198160                0
              0.2               -5                1       -3224.1782                0       -7485.5479                0        -34889064                0
              0.3               -5                1       -19336.982                0       -8659.9561                0        -34410976                0
              0.4               -5                1       -30699.338                0       -5220.3374                0        -33763896                0
              0.5               -5                1       -32304.391                0        466.17865                0        -32918468                0
              0.6               -5                1       -20271.914                0        1356.9331                0        -31850240                0
              0.7               -5                1       -8474.9863                0        1160.0459                0        -30639614                0
              0.8               -5                1         3086.405                0       -124.48315                0        -29286586                0
              0.9               -5                1         14412.25                0       -2496.6528                0        -27791152                0
                1               -5                1        16937.541                0       -3908.1045                0        -26063722                0
              1.1               -5                1        13167.247                0       -3711.1309                0        -24151948                0
              1.2               -5                1        9180.2432                0       -3033.0996                0        -22125040                0
              1.3               -5                1        4976.5352                0       -1874.0098                0        -19983006                0
              1.4               -5                1        556.11139                0       -233.86768                0        -17725834                0
              1.5               -5                1       -380.56042                0        -1646.949                0        -15319912                0
