,Re,Im
584769539.0781564,4.574118861455645e-14,6.1098588199064485
596593186.3727455,2.760014439218139e-13,6.27532065330306
608416833.6673347,-3.4994229736184934e-13,6.44397197115574
620240480.9619238,3.4061642395499803e-13,6.615959501117823
632064128.2565131,2.156053113822054e-13,6.791437805807265
643887775.5511022,3.297362383136715e-13,6.970569848787511
655711422.8456914,-2.6356694604601216e-13,7.153527609172226
667535070.1402806,-3.4638958368304884e-14,7.340492749796324
679358717.4348698,2.1294077612310502e-13,7.5316573445575
691182364.7294589,-6.972200594645983e-14,7.727224671184417
703006012.0240481,-2.7977620220553945e-13,7.92741007641578
714829659.3186373,-2.4491519923230953e-13,8.132441921526311
726653306.6132264,5.728750807065808e-13,8.342562617023125
738476953.9078157,1.0658141036401503e-13,8.558029756591644
750300601.2024049,-1.6564527527407336e-13,8.779117361556509
762124248.496994,-4.4497738826976274e-13,9.006117248748128
773947895.7915832,5.74207348336131e-13,9.239340536266997
785771543.0861723,1.4876988529977098e-13,9.4791193037353
797595190.3807615,-2.402522625288839e-13,9.725808425877172
809418837.6753507,-4.298783551348606e-13,9.979787600943393
821242484.96994,1.4654943925052066e-14,10.241463598649046
833066132.2645291,-4.929390229335695e-14,10.511272755853309
844889779.5591183,-2.1094237467877974e-13,10.7896837525095
856713426.8537074,1.474376176702208e-13,11.077200705329183
868537074.1482966,-2.6645352591003757e-14,11.374366622474035
880360721.4428858,-3.157474282033945e-13,11.681767269415712
892184368.7374749,-5.6710192097853e-13,12.000035504306751
904008016.0320642,-1.9273471707492718e-13,12.329856150753397
915831663.3266534,-3.5571545708990016e-13,12.671971487455266
927655310.6212425,2.042810365310288e-14,13.02718744776168
939478957.9158317,-5.568878691519785e-13,13.396380638728221
951302605.2104208,1.3589129821411916e-13,13.780506308903465
963126252.50501,4.3520742565306136e-14,14.18060741796944
974949899.7995992,-6.306066779870889e-13,14.597824990256553
986773547.0941885,-3.6504133049675147e-13,15.033409969330517
998597194.3887776,3.810285420513537e-13,15.488736833899576
1010420841.6833668,3.1530333899354446e-13,15.96531928816674
1022244488.9779559,-1.2256862191861728e-13,16.46482840499076
1034068136.2725451,-5.32018873400375e-13,16.989113681262108
1045891783.5671343,-5.693223670277803e-13,17.540227565897716
1057715430.8617234,6.572520305780927e-13,18.120454147570154
1069539078.1563127,-4.707345624410664e-14,18.73234284924468
1081362725.450902,-1.1901590823981678e-13,19.378748179599054
1093186372.745491,-8.615330671091215e-14,20.062876850861148
1105010020.04008,1.5720758028692217e-13,20.788343906525842
1116833667.3346694,4.911626660941693e-13,21.559239935219637
1128657314.6292586,-2.948752353404416e-13,22.3802120124158
1140480961.9238477,-9.752199048307375e-13,23.25656175647645
1152304609.218437,-7.904787935331115e-13,24.194364875110786
1164128256.5130262,1.900701818158268e-13,25.200617905638534
1175951903.8076153,5.417888360170764e-13,26.283419650468737
1187775551.1022043,1.1901590823981678e-13,27.452197271134487
1199599198.3967936,-1.4921397450962104e-13,28.71799041392542
1211422845.691383,-7.229772336359019e-13,30.093811521461028
1223246492.985972,-9.07718344933528e-13,31.5951072787031
1235070140.2805612,-3.588240815588506e-13,33.240355937266784
1246893787.5751503,6.927791673660977e-14,35.051849606895686
1258717434.8697395,-1.035616037370346e-12,37.056731973851925
1270541082.1643286,1.55964130499342e-12,39.288394345947694
1282364729.4589179,9.272582701669307e-13,41.78838319242533
1294188376.7535071,5.435651928564766e-13,44.609052038960556
1306012024.0480962,-5.080380560684716e-13,47.81732016059856
1317835671.3426855,-3.801403636316536e-13,51.50011728725086
1329659318.6372745,-4.085620730620576e-13,55.77246794733821
1341482965.9318638,2.5934809855243657e-13,60.78983969696786
1353306613.2264528,1.1652900866465643e-12,66.76763179101131
1365130260.521042,-8.739675649849232e-13,74.01313524765075
1376953907.8156314,-7.887024366937112e-13,82.98038689213772
1388777555.1102204,4.618527782440651e-13,94.3696442626865
1400601202.4048097,1.0516032489249483e-12,109.32046902178524
1412424849.6993988,2.0179413695586845e-12,129.82030456805563
1424248496.993988,1.0516032489249483e-12,159.67325846062357
1436072144.288577,1.8900436771218665e-12,207.19064601403676
1447895791.5831664,-1.3926637620897964e-12,294.67578807211044
1459719438.8777556,1.5916157281026244e-12,509.26643608224373
1471543086.1723447,-5.5706550483591855e-12,1865.056418893449
1483366733.466934,-1.1141310096718371e-11,-1124.6360293364226
1495190380.761523,-1.3073986337985843e-12,-432.3590419981695
1507014028.0561123,2.9558577807620168e-12,-267.7080159953661
1518837675.3507013,1.3500311979441904e-12,-193.90437091889507
1530661322.6452906,1.1368683772161603e-13,-152.0070283735023
1542484969.93988,-1.8332002582610585e-12,-124.9961375695876
1554308617.234469,1.1723955140041653e-12,-106.12955652853941
1566132264.5290582,-2.2026824808563106e-13,-92.20247192566895
1577955911.8236473,4.902744876744691e-13,-81.49653182767435
1589779559.1182365,-1.0160761121369433e-12,-73.00757618539345
1601603206.4128256,-1.3855583347321954e-12,-66.10951417945284
1613426853.7074149,3.481659405224491e-13,-60.39169938411544
1625250501.0020041,3.765876499528531e-13,-55.57359819006584
1637074148.2965932,-4.405364961712621e-13,-51.45703822281951
1648897795.5911825,-1.2008172234345693e-12,-47.89804849799503
1660721442.8857715,-4.156675004196586e-13,-44.78951364228545
1672545090.1803608,-9.130474154517287e-13,-42.05008860881348
1684368737.4749498,3.730349362740526e-13,-39.61688730377195
1696192384.769539,-1.1013412404281553e-13,-37.44052666181123
1708016032.0641284,-3.232969447708456e-13,-35.48168596403833
1719839679.3587174,-3.907985046680551e-13,-33.70866710632723
1731663326.6533067,2.4158453015843406e-13,-32.09563179262477
1743486973.9478958,1.9184653865522705e-13,-30.621306205107967
1755310621.242485,-1.7763568394002505e-14,-29.268014629842607
1767134268.537074,7.105427357601002e-15,-28.02094851973636
1778957915.8316634,-6.288303211476887e-13,-26.867606673006783
1790781563.1262527,1.1723955140041653e-13,-25.79736153209926
