           x [cm]           y [cm]           z [cm]       HxRe [A/m]       HxIm [A/m]       HyRe [A/m]       HyIm [A/m]       HzRe [A/m]       HzIm [A/m]
---------------------------------------------------------------------------------------------------------------------------------------------------------
               -5               -5                1                0       -4061.1602                0       -3965.1819                0       -13.783216
             -4.9               -5                1                0       -4047.5225                0       -7454.6411                0       0.51612759
             -4.8               -5                1                0       -3991.4473                0       -10918.591                0        11.918765
             -4.7               -5                1                0        -3876.272                0       -14138.684                0       -2.6328747
             -4.6               -5                1                0       -3805.2981                0       -17392.963                0       0.27637616
             -4.5               -5                1                0       -3628.5615                0        -20553.76                0       0.12877858
             -4.4               -5                1                0       -3393.7454                0        -23556.26                0        4.5638099
             -4.3               -5                1                0        -3058.042                0         -26274.1                0       -7.8087716
             -4.2               -5                1                0       -2948.9189                0       -28677.658                0       -16.934952
             -4.1               -5                1                0       -3090.9451                0       -30717.439                0       -15.223899
               -4               -5                1                0       -3462.1597                0       -32353.799                0        3.7324753
             -3.9               -5                1                0       -4029.1626                0       -33651.414                0        20.654285
             -3.8               -5                1                0       -4496.6753                0       -34823.012                0        16.405025
             -3.7               -5                1                0       -4823.7466                0       -35898.383                0       -8.0256977
             -3.6               -5                1                0       -5400.9751                0       -36466.309                0        -17.44136
             -3.5               -5                1                0       -6207.2192                0       -36600.461                0       -10.687165
             -3.4               -5                1                0       -7381.7935                0       -36145.484                0        8.0070724
             -3.3               -5                1                0       -8701.8936                0       -35638.965                0        14.267481
             -3.2               -5                1                0       -10489.751                0       -34667.898                0        2.5638342
             -3.1               -5                1                0         -12598.9                0       -33456.434                0       -3.6402807
               -3               -5                1                0       -14897.959                0       -32179.395                0        1.6052468
             -2.9               -5                1                0       -17386.928                0       -30836.779                0        18.300386
             -2.8               -5                1                0       -20017.904                0       -29210.836                0        28.576101
             -2.7               -5                1                0       -22671.775                0       -26868.736                0       -2.9111331
             -2.6               -5                1                0       -25484.613                0       -24494.586                0       -19.910021
             -2.5               -5                1                0       -28456.404                0       -22088.393                0       -22.420494
             -2.4               -5                1                0       -31587.158                0       -19650.152                0       -10.442606
             -2.3               -5                1                0       -35164.043                0       -17252.951                0       -3.6978154
             -2.2               -5                1                0        -39148.84                0        -14938.15                0       -7.2225208
             -2.1               -5                1                0       -43294.891                0       -12658.336                0       -6.3809776
               -2               -5                1                0       -47602.188                0       -10413.515                0       -1.1731863
             -1.9               -5                1                0        -52070.73                0       -8203.6787                0        8.4008417
             -1.8               -5                1                0        -55829.52                0       -6163.8867                0        12.837629
             -1.7               -5                1                0       -59486.801                0       -4189.0049                0        13.299183
             -1.6               -5                1                0       -63213.273                0       -2251.5593                0        11.138863
             -1.5               -5                1                0       -67008.922                0       -351.55084                0        6.3566742
             -1.4               -5                1                0       -70894.273                0        1385.7805                0       0.37846637
             -1.3               -5                1                0       -74980.461                0        2183.0342                0        3.3735447
             -1.2               -5                1                0       -79108.477                0        2933.9495                0        6.1974506
             -1.1               -5                1                0        -83278.32                0        3638.5237                0        8.8502007
               -1               -5                1                0       -87489.984                0        4296.7588                0        11.331799
             -0.9               -5                1                0       -90773.688                0        4626.1274                0        7.9010963
             -0.8               -5                1                0       -92693.039                0        4517.7803                0       -2.3478746
             -0.7               -5                1                0       -94599.242                0        4372.9224                0       -10.722407
             -0.6               -5                1                0       -96492.297                0        4191.5547                0       -17.222498
             -0.5               -5                1                0       -98372.195                0        3973.6763                0       -21.848154
             -0.4               -5                1                0       -100018.66                0        3351.9866                0        10.648616
             -0.3               -5                1                0       -101558.39                0        2544.0781                0        13.293821
             -0.2               -5                1                0       -103082.08                0        1702.1882                0       -36.418541
             -0.1               -5                1                0       -104589.71                0        826.31757                0       -138.48853
                0               -5                1                0       -106081.29                0         83.53421                0        292.91608
              0.1               -5                1                0       -104589.71                0       -826.31757                0        138.48853
              0.2               -5                1                0       -103082.08                0       -1702.1882                0        36.418541
              0.3               -5                1                0       -101558.39                0       -2544.0781                0       -13.293821
              0.4               -5                1                0       -100018.66                0       -3351.9866                0       -10.648616
              0.5               -5                1                0       -98372.195                0       -3973.6763                0        21.848154
              0.6               -5                1                0       -96492.297                0       -4191.5547                0        17.222498
              0.7               -5                1                0       -94599.242                0       -4372.9224                0        10.722407
              0.8               -5                1                0       -92693.039                0       -4517.7803                0        2.3478746
              0.9               -5                1                0       -90773.688                0       -4626.1274                0       -7.9010963
                1               -5                1                0       -87489.984                0       -4296.7588                0       -11.331799
              1.1               -5                1                0        -83278.32                0       -3638.5237                0       -8.8502007
              1.2               -5                1                0       -79108.477                0       -2933.9495                0       -6.1974506
              1.3               -5                1                0       -74980.461                0       -2183.0342                0       -3.3735447
              1.4               -5                1                0       -70894.273                0       -1385.7805                0      -0.37846637
              1.5               -5                1                0       -67008.922                0        351.55084                0       -6.3566742
              1.6               -5                1                0       -63213.273                0        2251.5593                0       -11.138863
              1.7               -5                1                0       -59486.801                0        4189.0049                0       -13.299183
              1.8               -5                1                0        -55829.52                0        6163.8867                0       -12.837629
              1.9               -5                1                0        -52070.73                0        8203.6787                0       -8.4008417
                2               -5                1                0       -47602.188                0        10413.515                0        1.1731863
              2.1               -5                1                0       -43294.891                0        12658.336                0        6.3809776
              2.2               -5                1                0        -39148.84                0         14938.15                0        7.2225208
              2.3               -5                1                0       -35164.043                0        17252.951                0        3.6978154
              2.4               -5                1                0       -31587.158                0        19650.152                0        10.442606
              2.5               -5                1                0       -28456.404                0        22088.393                0        22.420494
              2.6               -5                1                0       -25484.613                0        24494.586                0        19.910021
              2.7               -5                1                0       -22671.775                0        26868.736                0        2.9111331
              2.8               -5                1                0       -20017.904                0        29210.836                0       -28.576101
              2.9               -5                1                0       -17386.928                0        30836.779                0       -18.300386
                3               -5                1                0       -14897.959                0        32179.395                0       -1.6052468
              3.1               -5                1                0         -12598.9                0        33456.434                0        3.6402807
              3.2               -5                1                0       -10489.751                0        34667.898                0       -2.5638342
              3.3               -5                1                0       -8701.8936                0        35638.965                0       -14.267481
              3.4               -5                1                0       -7381.7935                0        36145.484                0       -8.0070724
              3.5               -5                1                0       -6207.2192                0        36600.461                0        10.687165
              3.6               -5                1                0       -5400.9751                0        36466.309                0         17.44136
              3.7               -5                1                0       -4823.7466                0        35898.383                0        8.0256977
              3.8               -5                1                0       -4496.6753                0        34823.012                0       -16.405025
              3.9               -5                1                0       -4029.1626                0        33651.414                0       -20.654285
                4               -5                1                0       -3462.1597                0        32353.799                0       -3.7324753
              4.1               -5                1                0       -3090.9451                0        30717.439                0        15.223899
              4.2               -5                1                0       -2948.9189                0        28677.658                0        16.934952
              4.3               -5                1                0        -3058.042                0          26274.1                0        7.8087716
              4.4               -5                1                0       -3393.7454                0         23556.26                0       -4.5638099
              4.5               -5                1                0       -3628.5615                0         20553.76                0      -0.12877858
              4.6               -5                1                0       -3805.2981                0        17392.963                0      -0.27637616
              4.7               -5                1                0        -3876.272                0        14138.684                0        2.6328747
              4.8               -5                1                0       -3991.4473                0        10918.591                0       -11.918765
              4.9               -5                1                0       -4047.5225                0        7454.6411                0      -0.51612759
                5               -5                1                0       -4061.1602                0        3965.1819                0        13.783216
               -5             -4.9                1                0       -7514.6943                0       -3987.4636                0       -15.696594
             -4.9             -4.9                1                0       -7540.3281                0        -7496.834                0       -7.6621323
             -4.8             -4.9                1                0       -7526.0488                0       -10990.751                0       -1.1651118
             -4.7             -4.9                1                0       -7443.3062                0       -14280.028                0       -9.6227856
             -4.6             -4.9                1                0       -7369.4429                0        -17462.59                0       -13.592575
             -4.5             -4.9                1                0       -7342.1279                0       -20680.916                0       0.25905609
             -4.4             -4.9                1                0        -7347.501                0       -23923.033                0        30.004669
             -4.3             -4.9                1                0       -7167.5029                0       -26282.336                0         3.843318
             -4.2             -4.9                1                0       -7144.0918                0       -28347.984                0       -15.152778
             -4.1             -4.9                1                0       -7253.2461                0       -30282.354                0       -17.859444
               -4             -4.9                1                0       -7505.4326                0       -32045.486                0       -5.6564617
             -3.9             -4.9                1                0       -7985.7827                0       -33286.191                0       -3.7327833
             -3.8             -4.9                1                0       -8588.2363                0       -34387.777                0       -9.6884804
             -3.7             -4.9                1                0       -9312.7891                0       -35350.227                0       -23.523518
             -3.6             -4.9                1                0       -10240.441                0        -35697.91                0       -22.181889
             -3.5             -4.9                1                0       -11304.807                0       -35192.465                0        1.2495314
             -3.4             -4.9                1                0       -12514.689                0        -34635.48                0        12.247137
             -3.3             -4.9                1                0       -13870.099                0       -34026.953                0         10.81089
             -3.2             -4.9                1                0       -15724.397                0       -32911.805                0       -2.1616292
             -3.1             -4.9                1                0       -17911.254                0        -31540.98                0       -6.8511267
