           x [cm]           y [cm]           z [cm]       HxRe [A/m]       HxIm [A/m]       HyRe [A/m]       HyIm [A/m]       HzRe [A/m]       HzIm [A/m]
              4.2               -5                0                0        89757.172                0        65045.031                0       -40.303558
              4.3               -5                0                0         89383.32                0        69555.555                0       -27.537214
              4.4               -5                0                0        88045.844                0        73114.438                0        10.661385
              4.5               -5                0                0        86865.484                0        75235.961                0        12.546822
              4.6               -5                0                0        85707.008                0        76686.859                0       0.74691713
              4.7               -5                0                0        83716.438                0        78367.859                0        13.640812
              4.8               -5                0                0         81739.68                0        79927.039                0        19.677193
              4.9               -5                0                0        80345.461                0        79592.891                0        15.574809
                5               -5                0                0        78915.938                0        79030.859                0       -1.0003964
               -5             -4.9                0                0         79521.57                0       -80456.906                0        8.9663572
             -4.9             -4.9                0                0        80875.094                0       -80935.609                0       -4.3633189
             -4.8             -4.9                0                0        82169.781                0        -81255.43                0       -5.2333775
             -4.7             -4.9                0                0        83805.789                0       -80333.297                0       -13.922378
             -4.6             -4.9                0                0        85731.531                0       -78521.031                0       -28.359674
             -4.5             -4.9                0                0        87685.922                0       -76580.141                0       -35.454941
             -4.4             -4.9                0                0            89595                0       -74538.711                0       -37.817558
             -4.3             -4.9                0                0        89673.852                0       -69970.984                0       -1.1741352
             -4.2             -4.9                0                0        89305.125                0       -64678.836                0        18.964033
             -4.1             -4.9                0                0        88931.383                0       -59249.402                0        16.555161
               -4             -4.9                0                0        88665.867                0       -53278.488                0       -10.058259
             -3.9             -4.9                0                0        88669.023                0       -45976.652                0        -31.11412
             -3.8             -4.9                0                0        88594.961                0       -38451.809                0       -22.763117
             -3.7             -4.9                0                0        88443.672                0           -30704                0        14.994709
             -3.6             -4.9                0                0        87508.555                0       -22919.145                0        34.905895
             -3.5             -4.9                0                0        85370.938                0       -13772.293                0        1.7842731
             -3.4             -4.9                0                0        83228.438                0         -4634.02                0       -13.263406
             -3.3             -4.9                0                0        81086.531                0        4489.5557                0       -10.143861
             -3.2             -4.9                0                0        78903.336                0        13722.697                0       -5.4982033
             -3.1             -4.9                0                0        76675.484                0        23049.715                0       -6.4775743
               -3             -4.9                0                0        74425.383                0        32397.832                0       -5.5943441
             -2.9             -4.9                0                0         71922.75                0        41810.523                0       -2.4852114
             -2.8             -4.9                0                0        69283.445                0        51022.688                0       -2.9054556
