           x [cm]           y [cm]           z [cm]       HxRe [A/m]       HxIm [A/m]       HyRe [A/m]       HyIm [A/m]       HzRe [A/m]       HzIm [A/m]
              4.3               -5                1                0         49986.27                0       -64465.113                0       0.52502811
              4.4               -5                1                0        50222.156                0       -62966.383                0       -1.0437286
              4.5               -5                1                0        50416.066                0       -61194.168                0       -2.5217602
              4.6               -5                1                0         50593.82                0       -59298.098                0      -0.32566607
              4.7               -5                1                0        50636.391                0       -57331.148                0     -0.090581656
              4.8               -5                1                0        50698.105                0        -55356.73                0        2.0392172
              4.9               -5                1                0        50707.914                0       -53074.402                0        1.3304703
                5               -5                1                0        50720.023                0       -50753.211                0      -0.37261319
               -5             -4.9                1                0        53049.086                0        50732.727                0      -0.38230026
             -4.9             -4.9                1                0        53034.641                0        53053.516                0      -0.93192077
             -4.8             -4.9                1                0        53025.074                0         55346.93                0      -0.62354422
             -4.7             -4.9                1                0        52980.867                0        57429.258                0         1.810457
             -4.6             -4.9                1                0        52927.488                0         59372.75                0         3.726162
             -4.5             -4.9                1                0        52895.988                0        61309.844                0        3.6552212
             -4.4             -4.9                1                0        52873.059                0        63235.262                0        1.8965241
             -4.3             -4.9                1                0        52590.992                0        64697.691                0        1.1035234
             -4.2             -4.9                1                0        52310.875                0        66080.852                0       0.87697834
             -4.1             -4.9                1                0        52060.129                0        67438.594                0       0.94194007
               -4             -4.9                1                0         51832.18                0        68738.914                0          0.86214
             -3.9             -4.9                1                0        51565.352                0        69686.781                0        -2.320297
             -3.8             -4.9                1                0         51319.48                0        70577.898                0       -3.6968193
             -3.7             -4.9                1                0        51094.555                0        71412.242                0       -3.2674201
             -3.6             -4.9                1                0        50829.453                0        72024.797                0        -1.591113
             -3.5             -4.9                1                0         50419.93                0        72294.625                0       0.34170145
             -3.4             -4.9                1                0        50015.836                0        72537.672                0        1.3868064
             -3.3             -4.9                1                0        49617.188                0        72753.953                0        1.5442009
             -3.2             -4.9                1                0        49246.234                0        72596.695                0        2.2712488
             -3.1             -4.9                1                0        48897.734                0        72258.625                0         2.322041
               -3             -4.9                1                0        48563.613                0        71884.867                0        1.0107082
             -2.9             -4.9                1                0        48179.273                0        71454.594                0      -0.92504489
             -2.8             -4.9                1                0        47798.586                0        70853.234                0       -1.9262713
             -2.7             -4.9                1                0        47476.438                0        69835.094                0       -1.6615136
             -2.6             -4.9                1                0        47070.469                0        68735.016                0      -0.92851114
             -2.5             -4.9                1                0        46598.816                0        67562.453                0     -0.058375418
             -2.4             -4.9                1                0        46143.617                0        66349.562                0     -0.089165151
             -2.3             -4.9                1                0        45736.238                0        64838.957                0       -5.0526199
             -2.2             -4.9                1                0         45373.77                0        63074.078                0       -13.414299
             -2.1             -4.9                1                0        45029.672                0        61278.812                0       -21.410667
               -2             -4.9                1                0        44662.871                0        59440.234                0       -17.477875
             -1.9             -4.9                1                0        44279.594                0        57556.066                0       -2.9837284
             -1.8             -4.9                1                0         43983.68                0        55237.938                0        9.1534843
             -1.7             -4.9                1                0        43701.902                0        52818.293                0        18.411741
             -1.6             -4.9                1                0        43298.836                0        50342.992                0        12.280483
             -1.5             -4.9                1                0        42919.125                0        47857.445                0        5.8170371
             -1.4             -4.9                1                0        42571.594                0        45311.004                0      -0.66359204
             -1.3             -4.9                1                0        42313.844                0        42392.965                0       -5.4278126
             -1.2             -4.9                1                0        42085.336                0        39467.656                0       -10.896933
             -1.1             -4.9                1                0        41875.609                0        36531.633                0       -15.367211
               -1             -4.9                1                0        41610.246                0         33559.32                0       -6.7204828
             -0.9             -4.9                1                0        41408.203                0        30460.961                0       -1.8343662
             -0.8             -4.9                1                0          41285.5                0        27188.143                0       -1.9621351
             -0.7             -4.9                1                0        41090.547                0        23889.646                0      -0.46504819
             -0.6             -4.9                1                0        40884.855                0        20579.539                0      -0.25731134
             -0.5             -4.9                1                0        40708.688                0        17264.688                0       -2.4966688
             -0.4             -4.9                1                0        40620.344                0        13851.805                0       -4.5035763
             -0.3             -4.9                1                0        40588.641                0        10396.349                0       -2.5449834
             -0.2             -4.9                1                0        40589.965                0        6937.0146                0        3.1799827
             -0.1             -4.9                1                0         40532.32                0        3473.5715                0        8.4337826
                0             -4.9                1                0        40468.297                0       -5.7161312                0       -14.803839
              0.1             -4.9                1                0         40532.32                0       -3473.5715                0       -8.4337826
              0.2             -4.9                1                0        40589.965                0       -6937.0146                0       -3.1799827
              0.3             -4.9                1                0        40588.641                0       -10396.349                0        2.5449834
              0.4             -4.9                1                0        40620.344                0       -13851.805                0        4.5035763
              0.5             -4.9                1                0        40708.688                0       -17264.688                0        2.4966688
              0.6             -4.9                1                0        40884.855                0       -20579.539                0       0.25731134
              0.7             -4.9                1                0        41090.547                0       -23889.646                0       0.46504819
              0.8             -4.9                1                0          41285.5                0       -27188.143                0        1.9621351
              0.9             -4.9                1                0        41408.203                0       -30460.961                0        1.8343662
                1             -4.9                1                0        41610.246                0        -33559.32                0        6.7204828
              1.1             -4.9                1                0        41875.609                0       -36531.633                0        15.367211
              1.2             -4.9                1                0        42085.336                0       -39467.656                0        10.896933
              1.3             -4.9                1                0        42313.844                0       -42392.965                0        5.4278126
              1.4             -4.9                1                0        42571.594                0       -45311.004                0       0.66359204
              1.5             -4.9                1                0        42919.125                0       -47857.445                0       -5.8170371
              1.6             -4.9                1                0        43298.836                0       -50342.992                0       -12.280483
              1.7             -4.9                1                0        43701.902                0       -52818.293                0       -18.411741
              1.8             -4.9                1                0         43983.68                0       -55237.938                0       -9.1534843
              1.9             -4.9                1                0        44279.594                0       -57556.066                0        2.9837284
                2             -4.9                1                0        44662.871                0       -59440.234                0        17.477875
              2.1             -4.9                1                0        45029.672                0       -61278.812                0        21.410667
              2.2             -4.9                1                0         45373.77                0       -63074.078                0        13.414299
              2.3             -4.9                1                0        45736.238                0       -64838.957                0        5.0526199
              2.4             -4.9                1                0        46143.617                0       -66349.562                0      0.089165151
              2.5             -4.9                1                0        46598.816                0       -67562.453                0      0.058375418
              2.6             -4.9                1                0        47070.469                0       -68735.016                0       0.92851114
              2.7             -4.9                1                0        47476.438                0       -69835.094                0        1.6615136
              2.8             -4.9                1                0        47798.586                0       -70853.234                0        1.9262713
              2.9             -4.9                1                0        48179.273                0       -71454.594                0       0.92504489
                3             -4.9                1                0        48563.613                0       -71884.867                0       -1.0107082
              3.1             -4.9                1                0        48897.734                0       -72258.625                0        -2.322041
              3.2             -4.9                1                0        49246.234                0       -72596.695                0       -2.2712488
              3.3             -4.9                1                0        49617.188                0       -72753.953                0       -1.5442009
              3.4             -4.9                1                0        50015.836                0       -72537.672                0       -1.3868064
              3.5             -4.9                1                0         50419.93                0       -72294.625                0      -0.34170145
