           x [cm]           y [cm]           z [cm]       ExRe [V/m]       ExIm [V/m]       EyRe [V/m]       EyIm [V/m]       EzRe [V/m]       EzIm [V/m]
              4.6               -5                1        2830.7971                0       -499.28412                0         19375058                0
              4.7               -5                1       -677.30957                0       -2380.7021                0         17166680                0
              4.8               -5                1        2373.9187                0       -4537.8403                0         14891023                0
              4.9               -5                1        11891.779                0       -15408.879                0         12474812                0
                5               -5                1          23192.6                0       -23191.895                0          9939713                0
               -5             -4.9                1       -20613.529                0       -15387.456                0         12479212                0
             -4.9             -4.9                1       -11056.706                0       -11622.598                0         14952610                0
             -4.8             -4.9                1       -3189.9314                0       -4363.5757                0         17309060                0
             -4.7             -4.9                1       -1606.6848                0       -2729.5322                0         19534584                0
             -4.6             -4.9                1       -8623.2734                0       -6885.7803                0         21672732                0
             -4.5             -4.9                1       -21994.551                0       -11229.091                0         23743452                0
             -4.4             -4.9                1        -41986.23                0       -15793.025                0         25746584                0
             -4.3             -4.9                1       -16523.891                0       -3831.8135                0         27396086                0
             -4.2             -4.9                1        2905.9092                0        4129.9619                0         28796696                0
             -4.1             -4.9                1        7492.8008                0        3088.1855                0         30036840                0
               -4             -4.9                1        -503.6944                0       -2394.0332                0         31121358                0
             -3.9             -4.9                1        2424.1133                0        16561.496                0         32116024                0
             -3.8             -4.9                1       -2358.2185                0         6908.396                0         32993760                0
             -3.7             -4.9                1       -14850.671                0       -31353.309                0         33754560                0
             -3.6             -4.9                1       -20368.543                0       -56947.941                0         34275884                0
             -3.5             -4.9                1       -8708.5996                0       -24060.412                0         34472208                0
             -3.4             -4.9                1       -4225.8999                0       -2618.1213                0         34543716                0
             -3.3             -4.9                1       -6920.4673                0        7378.9292                0         34490420                0
             -3.2             -4.9                1        1716.5942                0         1706.302                0         34305076                0
             -3.1             -4.9                1        9556.5059                0       -1610.5767                0         34029908                0
               -3             -4.9                1        8532.6406                0        1929.2715                0         33674616                0
             -2.9             -4.9                1        5955.5684                0       -1675.1759                0         33064476                0
             -2.8             -4.9                1        4805.9189                0        -8825.752                0         32298910                0
             -2.7             -4.9                1        15555.366                0       -32831.168                0         31467134                0
             -2.6             -4.9                1        18788.639                0       -36162.891                0         30579944                0
