           x [cm]           y [cm]           z [cm]       HxRe [A/m]       HxIm [A/m]       HyRe [A/m]       HyIm [A/m]       HzRe [A/m]       HzIm [A/m]
                4               -5                0                0       -26927.256                0       -7254.9141                0        14.228043
              4.1               -5                0                0       -25657.572                0       -3789.2756                0        16.810505
              4.2               -5                0                0         -24749.9                0       -520.62451                0        2.6558502
              4.3               -5                0                0       -23793.334                0        2678.1941                0       -11.962986
              4.4               -5                0                0       -22726.367                0        5793.5151                0        -15.27119
              4.5               -5                0                0       -22096.986                0        8659.2441                0      -0.62460506
              4.6               -5                0                0       -21685.842                0        11384.326                0        2.2623956
              4.7               -5                0                0       -21091.998                0        14069.611                0        2.7675953
              4.8               -5                0                0       -20626.508                0        16699.199                0       -12.048459
              4.9               -5                0                0       -20471.758                0        18798.082                0       -10.395267
                5               -5                0                0       -20483.227                0        20790.068                0        2.9342198
               -5             -4.9                0                0       -18563.141                0       -20662.168                0       -28.025568
             -4.9             -4.9                0                0       -18417.326                0       -18587.082                0       -8.7113485
             -4.8             -4.9                0                0       -18431.242                0       -16423.195                0      -0.31251693
             -4.7             -4.9                0                0       -18703.463                0       -13855.489                0       -11.584807
             -4.6             -4.9                0                0       -19183.441                0       -11005.332                0        -18.84351
             -4.5             -4.9                0                0        -19797.07                0       -8099.1143                0       -10.544451
             -4.4             -4.9                0                0         -20516.1                0       -5138.4155                0        12.870505
             -4.3             -4.9                0                0       -21149.479                0       -1836.2335                0        19.108141
             -4.2             -4.9                0                0       -21844.117                0         1554.115                0        16.626156
             -4.1             -4.9                0                0       -22674.641                0        4983.5078                0        8.5549345
               -4             -4.9                0                0       -23731.059                0        8498.6465                0        5.5926504
             -3.9             -4.9                0                0       -25169.172                0        12166.609                0        21.250734
             -3.8             -4.9                0                0       -26730.551                0        15845.328                0        21.883703
             -3.7             -4.9                0                0       -28415.184                0        19534.783                0        7.4915528
             -3.6             -4.9                0                0       -30176.047                0        23104.752                0        1.4849322
             -3.5             -4.9                0                0       -31801.605                0        26531.426                0        -9.554533
             -3.4             -4.9                0                0       -33548.039                0         29981.18                0       -11.331236
             -3.3             -4.9                0                0       -35417.867                0        33453.863                0        -3.672262
             -3.2             -4.9                0                0       -37660.117                0        36630.031                0        1.1792083
             -3.1             -4.9                0                0       -40177.562                0        39598.562                0       -1.6292073
               -3             -4.9                0                0       -42808.531                0        42558.082                0       -6.4894395
             -2.9             -4.9                0                0       -45207.508                0        45410.953                0       -10.297404
             -2.8             -4.9                0                0       -47540.555                0        47993.625                0       -9.9493265
             -2.7             -4.9                0                0       -50143.711                0        49955.965                0       -3.0447035
             -2.6             -4.9                0                0       -52696.137                0        51795.422                0        3.7852762
             -2.5             -4.9                0                0       -55221.211                0         53524.66                0        7.4947281
             -2.4             -4.9                0                0       -57817.617                0        55185.426                0        6.4094005
             -2.3             -4.9                0                0        -60603.07                0        56264.633                0        9.3896904
             -2.2             -4.9                0                0       -63545.969                0         56829.25                0        20.261276
             -2.1             -4.9                0                0       -66540.438                0        57319.637                0        32.919014
               -2             -4.9                0                0       -69252.992                0        57601.219                0        28.766373
             -1.9             -4.9                0                0       -71692.344                0        57681.711                0        4.2823839
             -1.8             -4.9                0                0       -74269.188                0        56672.477                0       -28.450529
             -1.7             -4.9                0                0       -76835.023                0        55411.195                0       -54.761467
             -1.6             -4.9                0                0       -79088.023                0        54177.336                0       -38.516079
             -1.5             -4.9                0                0           -81355                0        52906.844                0       -19.192501
             -1.4             -4.9                0                0       -83643.297                0        51453.191                0        2.3473616
             -1.3             -4.9                0                0       -85993.125                0        48920.445                0        17.874046
             -1.2             -4.9                0                0       -88347.875                0        46364.789                0        31.287151
             -1.1             -4.9                0                0       -90631.641                0        43744.598                0        38.454285
               -1             -4.9                0                0       -92292.492                0        40754.121                0        10.766304
             -0.9             -4.9                0                0       -93902.242                0        37347.934                0       0.72599316
             -0.8             -4.9                0                0       -95448.086                0        33376.789                0        10.239781
             -0.7             -4.9                0                0       -96574.742                0        29542.766                0        10.429295
             -0.6             -4.9                0                0       -97536.766                0            25751                0        7.5218954
             -0.5             -4.9                0                0       -98492.945                0        21936.896                0        2.7537022
             -0.4             -4.9                0                0       -99357.383                0        17793.811                0       -14.191462
