           x [cm]           y [cm]           z [cm]       HxRe [A/m]       HxIm [A/m]       HyRe [A/m]       HyIm [A/m]       HzRe [A/m]       HzIm [A/m]
---------------------------------------------------------------------------------------------------------------------------------------------------------
               -5               -5                1                0        78924.734                0       -79044.625                0       -3.7165465
             -4.9               -5                1                0        80356.188                0       -79599.641                0        15.148822
             -4.8               -5                1                0        81752.969                0       -79911.773                0        20.767591
             -4.7               -5                1                0          83705.5                0       -78357.117                0        12.386206
             -4.6               -5                1                0        85689.609                0       -76705.633                0        1.1819448
             -4.5               -5                1                0        86875.156                0       -75266.055                0        14.154963
             -4.4               -5                1                0        88095.672                0       -73174.766                0        13.216825
             -4.3               -5                1                0         89479.68                0       -69664.555                0       -28.837734
             -4.2               -5                1                0        89836.859                0       -65100.328                0       -51.394943
             -4.1               -5                1                0        89376.656                0       -59615.652                0       -39.280113
               -4               -5                1                0        89226.367                0       -53207.438                0       -9.4444923
             -3.9               -5                1                0        89255.477                0       -46065.895                0        7.6477871
             -3.8               -5                1                0         88729.82                0       -38910.188                0        4.6350975
             -3.7               -5                1                0        87596.438                0       -31778.055                0       -17.756737
             -3.6               -5                1                0         86390.68                0       -23985.521                0        1.6494617
             -3.5               -5                1                0         84839.07                0        -15648.72                0        28.954714
             -3.4               -5                1                0        82677.453                0       -6672.9497                0        38.686134
             -3.3               -5                1                0        80524.391                0        2325.2695                0        16.803806
             -3.2               -5                1                0        78291.297                0        11495.779                0        8.2837496
             -3.1               -5                1                0        75993.812                0        20749.863                0        10.988277
               -3               -5                1                0        73663.734                0        30022.734                0        9.8100672
             -2.9               -5                1                0        71301.047                0        39314.414                0        4.7491288
             -2.8               -5                1                0        68507.109                0        48262.246                0       -3.1882806
             -2.7               -5                1                0        64484.945                0        56009.434                0       -7.6335058
             -2.6               -5                1                0        60484.191                0        63613.102                0       -9.0985117
             -2.5               -5                1                0        56504.883                0        71073.211                0        -7.583293
             -2.4               -5                1                0            52547                0        78389.797                0       -3.0878592
             -2.3               -5                1                0        48634.664                0        84550.805                0       -8.3035908
             -2.2               -5                1                0        44763.809                0        89658.297                0       -17.418282
             -2.1               -5                1                0        40913.438                0        94571.859                0       -18.289227
               -2               -5                1                0        37083.562                0        99291.469                0       -10.916416
             -1.9               -5                1                0        33274.176                0        103817.14                0        4.7000833
             -1.8               -5                1                0        28995.617                0        104813.52                0        8.2124596
             -1.7               -5                1                0        24709.148                0        104967.77                0         7.415657
             -1.6               -5                1                0        20521.803                0        104966.74                0        5.7006149
             -1.5               -5                1                0        16433.584                0        104810.43                0        3.0673447
             -1.4               -5                1                0        12484.901                0        104085.48                0       0.28018236
             -1.3               -5                1                0        8947.5459                0        100262.94                0       0.95711136
             -1.2               -5                1                0        5549.4932                0        96321.531                0       -1.2373886
