           x [cm]           y [cm]           z [cm]       HxRe [A/m]       HxIm [A/m]       HyRe [A/m]       HyIm [A/m]       HzRe [A/m]       HzIm [A/m]
---------------------------------------------------------------------------------------------------------------------------------------------------------
               -5               -5                0                0        4351.0532                0        -4318.877                0        2.2280834
             -4.9               -5                0                0        2029.3313                0       -1930.0776                0        2.7766132
             -4.8               -5                0                0       -304.72699                0        434.19348                0        1.9841537
             -4.7               -5                0                0       -2759.4583                0        2534.9165                0        2.5206695
             -4.6               -5                0                0        -5229.665                0        4631.6465                0      -0.21102859
             -4.5               -5                0                0         -7587.75                0        6781.7705                0       0.34808004
             -4.4               -5                0                0       -9978.2393                0        8838.1855                0       -2.7784762
             -4.3               -5                0                0       -12428.724                0        10672.416                0       -9.2237005
             -4.2               -5                0                0        -14925.94                0        12541.538                0       -8.7730694
             -4.1               -5                0                0       -17464.885                0        14427.703                0       -2.4829946
               -4               -5                0                0        -20085.52                0        16073.232                0         4.599658
             -3.9               -5                0                0        -22744.33                0        17571.465                0        7.4475112
             -3.8               -5                0                0       -25284.277                0        19103.816                0        4.8307772
             -3.7               -5                0                0       -27779.123                0        20630.844                0      -0.73674601
             -3.6               -5                0                0       -30319.283                0        21890.588                0        2.9012489
             -3.5               -5                0                0       -32868.352                0        23049.262                0        8.1385498
             -3.4               -5                0                0       -35393.086                0        24127.674                0         5.335309
             -3.3               -5                0                0       -37917.211                0        25194.172                0       0.83637631
             -3.2               -5                0                0       -40449.812                0        25993.355                0      -0.83178627
             -3.1               -5                0                0       -42989.625                0        26623.742                0      -0.45505518
               -3               -5                0                0       -45532.023                0        27228.789                0      -0.36270294
             -2.9               -5                0                0       -48077.016                0        27808.496                0      -0.55472845
             -2.8               -5                0                0       -50546.781                0        28272.246                0      -0.97275388
             -2.7               -5                0                0       -52773.164                0        28425.949                0       -1.1691504
             -2.6               -5                0                0         -54992.5                0        28545.875                0       -1.1262035
             -2.5               -5                0                0       -57204.789                0        28632.016                0      -0.84391427
             -2.4               -5                0                0       -59410.016                0        28684.373                0      -0.32228279
             -2.3               -5                0                0       -61582.352                0        28484.643                0       -1.7074256
             -2.2               -5                0                0       -63716.219                0        28067.697                0       -3.6217194
             -2.1               -5                0                0       -65831.141                0        27622.828                0       -3.8930435
               -2               -5                0                0       -67927.102                0        27150.031                0       -2.5213943
             -1.9               -5                0                0       -70004.125                0        26649.309                0       0.49322468
             -1.8               -5                0                0       -71692.836                0        25794.762                0      -0.28222418
             -1.7               -5                0                0       -73278.859                0        24865.592                0       -1.3231659
             -1.6               -5                0                0       -74837.125                0        23930.451                0       -1.5900307
             -1.5               -5                0                0       -76367.641                0        22989.344                0       -1.0828242
             -1.4               -5                0                0       -77862.422                0        21996.426                0       0.11152142
             -1.3               -5                0                0       -79269.266                0         20668.93                0       0.49719238
             -1.2               -5                0                0       -80643.125                0        19335.369                0     -0.052934647
             -1.1               -5                0                0       -81983.969                0        17995.746                0       -1.5388618
               -1               -5                0                0       -83291.828                0        16650.057                0       -3.9605885
             -0.9               -5                0                0       -84331.555                0        15193.805                0       -4.8457456
             -0.8               -5                0                0       -85011.992                0        13585.596                0       -2.3057511
             -0.7               -5                0                0       -85666.812                0        11973.353                0        0.5354929
             -0.6               -5                0                0       -86295.984                0        10357.074                0        3.6779828
             -0.5               -5                0                0       -86899.523                0        8736.7607                0        7.1217227
             -0.4               -5                0                0        -87375.25                0        7024.7808                0       0.16544557
             -0.3               -5                0                0       -87779.242                0        5270.7026                0        -2.542587
             -0.2               -5                0                0       -88153.094                0        3510.4473                0        4.8564992
             -0.1               -5                0                0       -88496.781                0        1744.0156                0          22.3627
                0               -5                0                0       -88810.328                0        28.592274                0       -49.976017
              0.1               -5                0                0       -88496.781                0       -1744.0156                0         -22.3627
              0.2               -5                0                0       -88153.094                0       -3510.4473                0       -4.8564992
              0.3               -5                0                0       -87779.242                0       -5270.7026                0         2.542587
              0.4               -5                0                0        -87375.25                0       -7024.7808                0      -0.16544557
              0.5               -5                0                0       -86899.523                0       -8736.7607                0       -7.1217227
              0.6               -5                0                0       -86295.984                0       -10357.074                0       -3.6779828
              0.7               -5                0                0       -85666.812                0       -11973.353                0       -0.5354929
              0.8               -5                0                0       -85011.992                0       -13585.596                0        2.3057511
              0.9               -5                0                0       -84331.555                0       -15193.805                0        4.8457456
                1               -5                0                0       -83291.828                0       -16650.057                0        3.9605885
              1.1               -5                0                0       -81983.969                0       -17995.746                0        1.5388618
              1.2               -5                0                0       -80643.125                0       -19335.369                0      0.052934647
              1.3               -5                0                0       -79269.266                0        -20668.93                0      -0.49719238
              1.4               -5                0                0       -77862.422                0       -21996.426                0      -0.11152142
              1.5               -5                0                0       -76367.641                0       -22989.344                0        1.0828242
              1.6               -5                0                0       -74837.125                0       -23930.451                0        1.5900307
              1.7               -5                0                0       -73278.859                0       -24865.592                0        1.3231659
              1.8               -5                0                0       -71692.836                0       -25794.762                0       0.28222418
              1.9               -5                0                0       -70004.125                0       -26649.309                0      -0.49322468
                2               -5                0                0       -67927.102                0       -27150.031                0        2.5213943
              2.1               -5                0                0       -65831.141                0       -27622.828                0        3.8930435
              2.2               -5                0                0       -63716.219                0       -28067.697                0        3.6217194
              2.3               -5                0                0       -61582.352                0       -28484.643                0        1.7074256
              2.4               -5                0                0       -59410.016                0       -28684.373                0       0.32228279
              2.5               -5                0                0       -57204.789                0       -28632.016                0       0.84391427
              2.6               -5                0                0         -54992.5                0       -28545.875                0        1.1262035
              2.7               -5                0                0       -52773.164                0       -28425.949                0        1.1691504
              2.8               -5                0                0       -50546.781                0       -28272.246                0       0.97275388
              2.9               -5                0                0       -48077.016                0       -27808.496                0       0.55472845
