           x [cm]           y [cm]           z [cm]       ExRe [V/m]       ExIm [V/m]       EyRe [V/m]       EyIm [V/m]       EzRe [V/m]       EzIm [V/m]
---------------------------------------------------------------------------------------------------------------------------------------------------------
               -5               -5                0        17960.471                0        17959.979                0          9937233                0
             -4.9               -5                0        8708.8652                0        13064.154                0         12471301                0
             -4.8               -5                0        3369.9443                0        5368.5132                0         14886451                0
             -4.7               -5                0        395.92834                0        2822.1157                0         17167444                0
             -4.6               -5                0         2454.054                0        181.34222                0         19376600                0
             -4.5               -5                0        19837.531                0        549.88599                0         21514392                0
             -4.4               -5                0        23319.926                0        -3687.177                0         23558816                0
             -4.3               -5                0        7156.9951                0       -1017.1669                0         25495508                0
             -4.2               -5                0       -8168.4126                0       -2683.8247                0         27132532                0
             -4.1               -5                0       -12629.769                0       -3447.0198                0         28476478                0
               -4               -5                0       -625.00415                0       -1724.5549                0         29760830                0
             -3.9               -5                0        4161.9595                0       -5692.4448                0         30937276                0
             -3.8               -5                0        3106.7769                0       -3510.6313                0         31921152                0
             -3.7               -5                0        2749.5811                0        11511.334                0         32752214                0
             -3.6               -5                0         6445.249                0        18306.625                0         33488648                0
             -3.5               -5                0        10916.114                0         21429.75                0         34122100                0
             -3.4               -5                0        12795.603                0        9403.4141                0         34347364                0
             -3.3               -5                0        18466.977                0        2085.7222                0         34467032                0
             -3.2               -5                0        3461.3005                0        3281.0503                0         34465696                0
             -3.1               -5                0       -14425.324                0        4966.5322                0         34373024                0
               -3               -5                0        -19591.33                0        3548.7529                0         34202952                0
             -2.9               -5                0       -12036.771                0       -972.27881                0         33955472                0
             -2.8               -5                0       -1702.7473                0       -1467.5684                0         33557512                0
             -2.7               -5                0       -13017.073                0        13563.718                0         32871948                0
             -2.6               -5                0       -17575.875                0        20102.908                0         32133280                0
             -2.5               -5                0       -15379.129                0        18149.969                0         31341514                0
             -2.4               -5                0       -6426.8516                0        7704.9189                0         30496644                0
             -2.3               -5                0       -6150.4653                0       -4430.5669                0         29633988                0
             -2.2               -5                0        -14695.13                0         -16424.5                0         28775416                0
             -2.1               -5                0       -19466.748                0       -33296.059                0         27898586                0
               -2               -5                0       -20465.303                0       -55045.168                0         27003496                0
             -1.9               -5                0       -17690.797                0       -81671.891                0         26090148                0
             -1.8               -5                0       -14609.603                0       -64836.141                0         25016618                0
             -1.7               -5                0       -11499.655                0       -42242.773                0         23942340                0
             -1.6               -5                0       -7932.5293                0        -23730.98                0         22900716                0
             -1.5               -5                0       -3908.2236                0       -9300.8018                0         21891746                0
             -1.4               -5                0       -517.97546                0       -559.21265                0         20924190                0
             -1.3               -5                0       -3310.5522                0       -5088.5039                0         20063242                0
             -1.2               -5                0        -3540.792                0       -9549.8682                0         19254902                0
             -1.1               -5                0       -1208.6973                0       -13943.315                0         18499170                0
               -1               -5                0        3685.7363                0       -18268.842                0         17796050                0
             -0.9               -5                0        2218.1858                0       -16202.224                0         17102870                0
             -0.8               -5                0       -6800.2271                0       -7371.9927                0         16417984                0
             -0.7               -5                0       -9766.3281                0       -1612.7812                0         15808080                0
             -0.6               -5                0       -6680.1191                0        1075.4014                0         15273162                0
             -0.5               -5                0         2458.407                0        692.55347                0         14813231                0
             -0.4               -5                0       -6367.3149                0         4475.936                0         14485860                0
             -0.3               -5                0       -12278.679                0         8736.834                0         14255989                0
             -0.2               -5                0       -4181.9224                0        10578.137                0         14099593                0
             -0.1               -5                0        17922.957                0        9999.8418                0         14016671                0
                0               -5                0       -54035.945                0        7001.9492                0         14007224                0
              0.1               -5                0       -17922.957                0        9999.8418                0         14016671                0
              0.2               -5                0        4181.9224                0        10578.137                0         14099593                0
              0.3               -5                0        12278.679                0         8736.834                0         14255989                0
              0.4               -5                0        6367.3149                0         4475.936                0         14485860                0
              0.5               -5                0        -2458.407                0        692.55347                0         14813231                0
              0.6               -5                0        6680.1191                0        1075.4014                0         15273162                0
              0.7               -5                0        9766.3281                0       -1612.7812                0         15808080                0
              0.8               -5                0        6800.2271                0       -7371.9927                0         16417984                0
              0.9               -5                0       -2218.1858                0       -16202.224                0         17102870                0
                1               -5                0       -3685.7363                0       -18268.842                0         17796050                0
              1.1               -5                0        1208.6973                0       -13943.315                0         18499170                0
              1.2               -5                0         3540.792                0       -9549.8682                0         19254902                0
              1.3               -5                0        3310.5522                0       -5088.5039                0         20063242                0
              1.4               -5                0        517.97546                0       -559.21265                0         20924190                0
              1.5               -5                0        3908.2236                0       -9300.8018                0         21891746                0
              1.6               -5                0        7932.5293                0        -23730.98                0         22900716                0
              1.7               -5                0        11499.655                0       -42242.773                0         23942340                0
              1.8               -5                0        14609.603                0       -64836.141                0         25016618                0
              1.9               -5                0        17690.797                0       -81671.891                0         26090148                0
                2               -5                0        20465.303                0       -55045.168                0         27003496                0
              2.1               -5                0        19466.748                0       -33296.059                0         27898586                0
              2.2               -5                0         14695.13                0         -16424.5                0         28775416                0
              2.3               -5                0        6150.4653                0       -4430.5669                0         29633988                0
              2.4               -5                0        6426.8516                0        7704.9189                0         30496644                0
              2.5               -5                0        15379.129                0        18149.969                0         31341514                0
              2.6               -5                0        17575.875                0        20102.908                0         32133280                0
              2.7               -5                0        13017.073                0        13563.718                0         32871948                0
              2.8               -5                0        1702.7473                0       -1467.5684                0         33557512                0
              2.9               -5                0        12036.771                0       -972.27881                0         33955472                0
                3               -5                0         19591.33                0        3548.7529                0         34202952                0
              3.1               -5                0        14425.324                0        4966.5322                0         34373024                0
              3.2               -5                0       -3461.3005                0        3281.0503                0         34465696                0
              3.3               -5                0       -18466.977                0        2085.7222                0         34467032                0
              3.4               -5                0       -12795.603                0        9403.4141                0         34347364                0
              3.5               -5                0       -10916.114                0         21429.75                0         34122100                0
              3.6               -5                0        -6445.249                0        18306.625                0         33488648                0
              3.7               -5                0       -2749.5811                0        11511.334                0         32752214                0
              3.8               -5                0       -3106.7769                0       -3510.6313                0         31921152                0
              3.9               -5                0       -4161.9595                0       -5692.4448                0         30937276                0
                4               -5                0        625.00415                0       -1724.5549                0         29760830                0
              4.1               -5                0        12629.769                0       -3447.0198                0         28476478                0
              4.2               -5                0        8168.4126                0       -2683.8247                0         27132532                0
              4.3               -5                0       -7156.9951                0       -1017.1669                0         25495508                0
              4.4               -5                0       -23319.926                0        -3687.177                0         23558816                0
              4.5               -5                0       -19837.531                0        549.88599                0         21514392                0
              4.6               -5                0        -2454.054                0        181.34222                0         19376600                0
              4.7               -5                0       -395.92834                0        2822.1157                0         17167444                0
              4.8               -5                0       -3369.9443                0        5368.5132                0         14886451                0
              4.9               -5                0       -8708.8652                0        13064.154                0         12471301                0
                5               -5                0       -17960.471                0        17959.979                0          9937233                0
               -5             -4.9                0        18962.281                0        12522.196                0         12474976                0
             -4.9             -4.9                0        8529.6289                0        9683.2666                0         14947839                0
             -4.8             -4.9                0        2089.9277                0        3779.5051                0         17303372                0
             -4.7             -4.9                0        2051.5308                0        2449.8667                0         19531308                0
             -4.6             -4.9                0        8308.6758                0        5671.0635                0         21670780                0
             -4.5             -4.9                0        19342.924                0        8707.5449                0         23738296                0
             -4.4             -4.9                0        35699.637                0        11560.783                0         25733710                0
             -4.3             -4.9                0       -1067.8252                0       -10872.156                0         27342192                0
             -4.2             -4.9                0       -24857.469                0       -24105.664                0         28720456                0
             -4.1             -4.9                0       -22283.799                0       -18607.209                0         29973322                0
               -4             -4.9                0       -346.97311                0       -390.11017                0         31109496                0
             -3.9             -4.9                0        6541.5249                0        7274.7349                0         32133092                0
             -3.8             -4.9                0        5437.1328                0        14127.768                0         33012714                0
             -3.7             -4.9                0       -3660.1328                0        20168.955                0         33748360                0
             -3.6             -4.9                0       -3457.6758                0        35818.695                0         34332660                0
             -3.5             -4.9                0       -1332.8481                0        19393.742                0         34480536                0
             -3.4             -4.9                0        4572.9844                0        7556.8682                0         34520784                0
             -3.3             -4.9                0        14270.707                0        428.64282                0         34455440                0
             -3.2             -4.9                0        2630.1997                0       -3102.1978                0         34270172                0
             -3.1             -4.9                0       -14152.031                0       -8922.7969                0         33992804                0
               -3             -4.9                0       -18213.635                0       -17846.637                0         33638024                0
             -2.9             -4.9                0       -12855.797                0       -13983.711                0         33054634                0
             -2.8             -4.9                0       -7139.2158                0        4594.2065                0         32287712                0
             -2.7             -4.9                0       -21040.137                0        29689.496                0         31454980                0
             -2.6             -4.9                0       -23595.076                0        36284.023                0         30568610                0
             -2.5             -4.9                0       -15519.657                0        29279.668                0         29619644                0
             -2.4             -4.9                0       -688.71094                0        13783.207                0         28617576                0
             -2.3             -4.9                0       -2468.5679                0       -6293.5654                0         27604398                0
             -2.2             -4.9                0       -19900.152                0       -28716.475                0         26601052                0
             -2.1             -4.9                0       -33558.707                0       -56017.027                0         25579444                0
               -2             -4.9                0       -33774.836                0       -61673.367                0         24416134                0
             -1.9             -4.9                0       -13625.992                0       -43900.359                0         23138314                0
             -1.8             -4.9                0        1497.5254                0       -39080.875                0         21938260                0
             -1.7             -4.9                0        13203.724                0       -39142.887                0         20792006                0
             -1.6             -4.9                0        10222.693                0       -24016.281                0         19674620                0
             -1.5             -4.9                0        7698.8394                0        -12971.29                0         18589892                0
             -1.4             -4.9                0        4510.6953                0       -7358.4326                0         17545692                0
             -1.3             -4.9                0       -5076.9961                0       -13178.232                0         16601728                0
             -1.2             -4.9                0       -12102.347                0       -18930.107                0         15710376                0
             -1.1             -4.9                0       -15510.805                0       -22942.822                0         14854294                0
               -1             -4.9                0       -6528.8467                0       -13513.161                0         13924560                0
             -0.9             -4.9                0       -2631.7676                0       -579.80664                0         13123165                0
             -0.8             -4.9                0       -8045.7759                0         12510.46                0         12465584                0
             -0.7             -4.9                0       -10199.971                0        12588.967                0         11845525                0
             -0.6             -4.9                0         -7030.46                0        6764.6748                0         11286656                0
             -0.5             -4.9                0        2191.3696                0       -2130.6545                0         10802774                0
             -0.4             -4.9                0       -5555.6729                0       -3197.0586                0         10445166                0
             -0.3             -4.9                0       -9976.8008                0       -2271.5342                0         10182455                0
             -0.2             -4.9                0       -389.80579                0       -3765.6108                0          9993218                0
             -0.1             -4.9                0        13900.916                0        251.76292                0          9820227                0
                0             -4.9                0       -30825.342                0         5781.627                0          9703490                0
              0.1             -4.9                0       -13900.916                0        251.76292                0          9820227                0
              0.2             -4.9                0        389.80579                0       -3765.6108                0          9993218                0
              0.3             -4.9                0        9976.8008                0       -2271.5342                0         10182455                0
              0.4             -4.9                0        5555.6729                0       -3197.0586                0         10445166                0
              0.5             -4.9                0       -2191.3696                0       -2130.6545                0         10802774                0
              0.6             -4.9                0          7030.46                0        6764.6748                0         11286656                0
              0.7             -4.9                0        10199.971                0        12588.967                0         11845525                0
              0.8             -4.9                0        8045.7759                0         12510.46                0         12465584                0
              0.9             -4.9                0        2631.7676                0       -579.80664                0         13123165                0
                1             -4.9                0        6528.8467                0       -13513.161                0         13924560                0
              1.1             -4.9                0        15510.805                0       -22942.822                0         14854294                0
              1.2             -4.9                0        12102.347                0       -18930.107                0         15710376                0
              1.3             -4.9                0        5076.9961                0       -13178.232                0         16601728                0
              1.4             -4.9                0       -4510.6953                0       -7358.4326                0         17545692                0
              1.5             -4.9                0       -7698.8394                0        -12971.29                0         18589892                0
              1.6             -4.9                0       -10222.693                0       -24016.281                0         19674620                0
              1.7             -4.9                0       -13203.724                0       -39142.887                0         20792006                0
              1.8             -4.9                0       -1497.5254                0       -39080.875                0         21938260                0
              1.9             -4.9                0        13625.992                0       -43900.359                0         23138314                0
                2             -4.9                0        33774.836                0       -61673.367                0         24416134                0
              2.1             -4.9                0        33558.707                0       -56017.027                0         25579444                0
              2.2             -4.9                0        19900.152                0       -28716.475                0         26601052                0
              2.3             -4.9                0        2468.5679                0       -6293.5654                0         27604398                0
              2.4             -4.9                0        688.71094                0        13783.207                0         28617576                0
              2.5             -4.9                0        15519.657                0        29279.668                0         29619644                0
              2.6             -4.9                0        23595.076                0        36284.023                0         30568610                0
              2.7             -4.9                0        21040.137                0        29689.496                0         31454980                0
              2.8             -4.9                0        7139.2158                0        4594.2065                0         32287712                0
              2.9             -4.9                0        12855.797                0       -13983.711                0         33054634                0
